,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Java,20-40K,上海 青浦区 华新,5-10年,中通快递,物流/仓储,已上市,10000人以上,宋先生主任工程师,"- 负责分布式计算、大数据基础架构、工作流、数据服务等的设计研发- 负责java相关基础架构设计，解决系统中的扩展性、安全性、高性能等问题任职要求- 2-5年以上大型java web研发经验- 精通java，熟悉常用框架，如spring、spring mvc、mybatis、spring boot\spring cloud等- 优秀的数据库设计优化能力，至少精通一种数据库应用- 精通多线程及并发技术，精通socket网络编程- 扎实的计算机基础，熟悉常用数据结构和算法, 如递归、树遍历、图遍历等等- 熟悉linux，能熟练应用shell/python等脚本语言- 学习能力强，有较好的沟通能力，能迅速融入团队- 有搜索、数据仓库经验者优先- 较强的逻辑思维能力，具有较强产品意识者优先",五险一金定期体检年终奖带薪年假免费班车餐补提供宿舍,https://www.zhipin.com/job_detail/79f98182575aaed403N73d60EVQ~.html,https://www.zhipin.com/gongsi/d6fc88b600e7848b1nN93t-9.html
1,Java,20-30K,上海,5-10年,万得,数据服务,不需要融资,1000-9999人,朱先生部门经理,资深java工程师1. 深入发掘和分析业务需求，撰写技术方案和系统设计；2. 参与技术方案和系统设计评审；把握复杂系统的设计，确保系统的架构质量；3. 系统核心部分代码编写；疑难问题的解决；4. 对现存或未来系统进行宏观的思考，规划形成统一的框架、平台或组件；5. 指导和培训工程师，让团队成员在你的影响下取得成长；6. 为团队引入创新的技术、创新的解决方案，用创新的思路解决问题；7. 你的工作非常重要，对系统的长期健康发展、工程师的成长都会有很大正面影响；8. 对行业的发展有自己的见解1. JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；2. 5年以上使用JAVA开发的经验，对于你用过的开源框架，能了解到它的原理和机制；3. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、搜索\推荐等机制；能对分布式常用技术进行合理应用，解决问题；4. 掌握Linux 操作系统和大型数据库；有较强的分析设计能力和方案整合能力；5. 良好的沟通技能，团队合作能力，勤奋好学；6. 我们希望你对互联网或J2EE应用开发的最新潮流有关注，喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队；7. 如果你觉得和以上要求不符，但你对这个岗位很感兴趣，并且确认你以往的其他经历或经验能给团队带来自己独特的价值，那么也欢迎投递简历；,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补节日福利住房补贴,https://www.zhipin.com/job_detail/4b1ca2a6fa90ab521nVz2t21FFE~.html,https://www.zhipin.com/gongsi/3be219eff47214b91nB42N26EQ~~.html
2,Java engineer,25-50K,上海 杨浦区 五角场,3-5年,vmware,计算机软件,已上市,10000人以上,Recruiter,Java developer with data modeling & database design/impl experience,五险一金补充医疗保险定期体检股票期权带薪年假员工旅游零食下午茶健身费报销学费报销,https://www.zhipin.com/job_detail/9e8856fa388c85061XR_09S1Flo~.html,https://www.zhipin.com/gongsi/188cb595a5cf0be21XV42N20.html
3,java,8-10K,上海 杨浦区 五角场,1-3年,深圳市锐明技术,智能硬件,不需要融资,1000-9999人,陆女士人力资源,java岗位职责：1、Java软件开发工程师2、主要从事服务器端软件平台开发；3、基于高并发量实时位置服务系统开发；4、车联网行业的大数据应用开发；5、高性能web软件开发技术要求：1、本科以上学历，计算机相关专业；2、1年以上Java服务器端开发经验；3、熟悉设计模式，有理解复杂软件架构的能力；4、有大数据、高并发开发工作经验者优先；5、熟悉web开发岗位要求:1、热爱软件开发，喜欢探索新技术和理念并应用在工作中2、有很强的责任心3、有良好的团队协作和沟通能力,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游餐补,https://www.zhipin.com/job_detail/608a61408c15699b03Zz2N27F1Y~.html,https://www.zhipin.com/gongsi/2e835a2ad730222b0HFy29-6.html
4,Java,40-70K,上海 浦东新区 陆家嘴,3-5年,蚂蚁金服,互联网金融,C轮,10000人以上,卜先生余额宝团队招聘经理,职位描述1、 负责蚂蚁金服所有应用的故障发现、故障应急、演练等技术风险领域的功能研发；2、 参与蚂蚁金服重大项目（比如双11，双12）和产品（比如余额宝）的设计过程，对技术风险领域进行评审和分析；3、 负责技术风险平台应用架构设计和系统实施，使系统体系化并具有前瞻性，能快速发现业务风险和及时管控；独立完成大型项目的系统分析设计，并负责核心模块研发； 负责完成系统Code Review的任务，确保相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及安全的建议。职位要求1、有强烈的技术热情，工作责任感； 计算机软件或相关专业，本科或以上学历；2、有创新精神，乐于和热于技术钻研。思维严谨，逻辑清晰，具备批判性思维能力和习惯；3、具备扎实的计算机专业基础，包括算法和数据结构、操作系统、计算机体系结构、计算机网络、数据库等；4、扎实的C/C++/Java／Python 等语言基础，良好的编程素养，对代码美感有追求；5、至少熟悉一种关系型数据库如Oracle、Mysql等，对于大数据处理系统Hadoop，Spark，Storm等的架构设计比较熟悉，并了解其优劣势和设计原则优先。；6、有金融背景、海量数据处理、从事过互联网行业的大数据处理等优先考虑；7、有很强的分析复杂问题和解决复杂问题的能力，有强烈的责任心和使命感。,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游免费班车餐补交通补助零食下午茶,https://www.zhipin.com/job_detail/f4cdffbf6fcda5381XBz2ty8FFA~.html,https://www.zhipin.com/gongsi/6bbb9e0ebe9d06461nd_09--.html
5,Java developer,15-30K,上海 黄浦区 人民广场,经验不限,恩梯梯数据,计算机软件,不需要融资,1000-9999人,贺女士招聘者,"Job Description:•	Java full stack developer in Nike Greater China supply chain provides. •	This role is responsible to understand requirements, design and develop, unit test and maintain documents. •	Development the supply chain related project with team member.Key Qualification:•	>4 years of professional experience in application engineering•	Should have experience in Java SSH/SSI/SSM platform and Spring Boot platform.•	Should have experience in My SQL database, profound understanding index, transaction and lock.•	Should have experience in Git and Git work flow.•	Should have experience in SQL performance optimize.•	Should have experience in Linux OS operation.•	Familiar with CSS3, HTML5 and Responsive Web Design is preferred.•	Familiar with Spring Cloud platform is preferred.•	Familiar with AWS PaaS service is preferred.•	Familiar with Scrum is preferred.•	Familiar with Distributed system is preferred.•	Excellent team working skills.•	Proactive, organized, and able to priorities tasks.•	Ability to quickly gain knowledge and understanding.•	Good English read and write ability, familiar with listening and speak is preferred.•	Good development practices, and code specifications.•	Good character, easy to get along with people.",五险一金补充医疗保险定期体检年终奖带薪年假员工旅游节日福利,https://www.zhipin.com/job_detail/d1147c73e97eb4dd1HZ929-1FVA~.html,https://www.zhipin.com/gongsi/659f6243654b2b8b1nR53ty_EQ~~.html
6,Java,17-33K,上海 杨浦区 五角场,3-5年,哔哩哔哩-B站,互联网,已上市,1000-9999人,朱先生技术专家,Java高级研发工程师职位描述：工作职责：1、电商平台架构整体设计，模块开发；如供应链、交易订单、商品、支付、营销、财务结算等系统；2、B站交易平台相关开发，如收银台、用户资产等系统研发3、电商平台高并发秒杀系统设计、开发、优化，核心接口上万qps的技术挑战4、垂直电商创新的业务系统搭建，面向B/C两端的平台化设计与实现。任职要求：1、计算机及相关专业，全日制本科及以上学历，2-5年Java开发经验，需有互联网相关经验，有分布式、高并发、高可用系统设计经验优先；2、熟练掌握Spring、MyBatis等开发框架，对Java技术生态有较深入了解；3、熟悉掌握MySQL、Redis、MQ、ES等中间件的使用和优化；4、积极主动，善于沟通；学习能力强，乐于钻研；关注于新技术的发展与尝试。,地铁周边美女如云领导nice,https://www.zhipin.com/job_detail/7a65427404c95d201nV92tu7E1s~.html,https://www.zhipin.com/gongsi/7cf08ef4b0f688c103V52tQ~.html
7,对日Java,7-8K,上海 杨浦区 五角场,1-3年,纬创软件,计算机软件,已上市,1000-9999人,江女士招聘专员,职位名称：对日Java任职要求：1.1年以上Java开发经验2..日语三级相当，有读写式样书水平3.有银行项目优先工作地点：上海杨浦区政立路488号福利待遇：六险一金按照上海最低标准，年终奖一个月薪资范围：7.5-8K,五险一金定期体检带薪年假节日福利零食下午茶,https://www.zhipin.com/job_detail/4106197191670d2603B_3tu4FFM~.html,https://www.zhipin.com/gongsi/fc705eb462e9b27b1HJ-2t60GA~~.html
8,Java,12-19K,上海 徐汇区 斜土路,3-5年,软通动力,计算机软件,已上市,10000人以上,张女士HR,1、专科及以上学历，计算机科学与技术及相关专业，1年及以上J2EE平台开发工作经验；2、Java基础知识过硬，熟练掌握SpringBoot、SpringMVC、Mybatis开源框架；3、熟练掌握Http、TCP等通讯协议以及Restful接口编程，并有实际的开发经验；4、熟练掌握Tomcat等应用服务器的部署和配置；5、熟练掌握Oracle、MySql、Postgresql数据库开发，包括SQL编写以及数据库设计，并具备一定的SQL优化能力；6、加分项：熟练掌握Dubbo、Apollo、Redis、RabbitMQ等技术产品。,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/0e356cdf183e792503R80ti4FVM~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
9,Java,30-50K,上海 浦东新区 世纪公园,1-3年,口碑,O2O,D轮及以上,10000人以上,顾先生技术专家,口碑，新零售业态的新生力量，依靠科技重构餐饮产业链，大数据驱动O2O变革。从创立伊始，口碑的使命就是“助力商家，让每个人都享受有口碑的服务”口碑，以吃和吃的配套商品这一最高频品类为切入，探索一条立足本地，深耕供应链与物流配送，线上线下融合，主打会员心智的全新道路。口碑，有志于打造基于支付宝APP、手机淘宝APP和口碑独立APP、业界名厨领衔的餐饮研发中心、国际标准的中央厨房、买手制采购团队、自建+众包物流配送体系和线下体验门店，从而打造了“1212全球狂欢节”这一线下狂欢节；Java开发专家岗位描述：1. 负责公司战略级项目（如O2O、开放平台、大运营等）的技术架构规划和设计，并主导落地实施；2. 主导技术难题攻关，持续提升核心系统在高并发、海量请求数下的高处理性能，保证系统的安全、稳定、快速运行；3. 独立完成中小型项目的系统分析、设计，核心功能的设计与代码模板编写，开发与维护系统核心模块；4. 理解业务，识别需求，参与架构、系统、分析设计等多领域项目的相关技术的实践、应用和研发，负责产品线系统的规划设计，制定产品线的技术发展计划；5. 审核开发人员的系统设计和代码质量，书写技术文档和制定开发规范。,五险一金补充医疗保险定期体检带薪年假员工旅游餐补节日福利,https://www.zhipin.com/job_detail/fa0ab0cd6073213f1XNz3d-6FlM~.html,https://www.zhipin.com/gongsi/86ab59b4f61d1dc31Xxz3tW8.html
10,Java,30-60K,上海 浦东新区 陆家嘴,3-5年,蚂蚁金服,互联网金融,C轮,10000人以上,卜先生余额宝团队招聘经理,1、 负责蚂蚁金服所有应用的故障发现、故障应急、演练等技术风险领域的功能研发；2、 参与蚂蚁金服重大项目（比如双11，双12）和产品（比如余额宝）的设计过程，对技术风险领域进行评审和分析；3、 负责技术风险平台应用架构设计和系统实施，使系统体系化并具有前瞻性，能快速发现业务风险和及时管控；独立完成大型项目的系统分析设计，并负责核心模块研发； 负责完成系统Code Review的任务，确保相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及安全的建议。职位描述1、有强烈的技术热情，工作责任感； 计算机软件或相关专业，本科或以上学历；2、有创新精神，乐于和热于技术钻研。思维严谨，逻辑清晰，具备批判性思维能力和习惯；3、具备扎实的计算机专业基础，包括算法和数据结构、操作系统、计算机体系结构、计算机网络、数据库等；4、扎实的C/C++/Java／Python 等语言基础，良好的编程素养，对代码美感有追求；5、至少熟悉一种关系型数据库如Oracle、Mysql等，对于大数据处理系统Hadoop，Spark，Storm等的架构设计比较熟悉，并了解其优劣势和设计原则优先。；6、有金融背景、海量数据处理、从事过互联网行业的大数据处理等优先考虑；7、有很强的分析复杂问题和解决复杂问题的能力，有强烈的责任心和使命感。职位要求,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游免费班车餐补交通补助零食下午茶,https://www.zhipin.com/job_detail/898bb1cffc6ccbe91n1z3969FVU~.html,https://www.zhipin.com/gongsi/6bbb9e0ebe9d06461nd_09--.html
11,Java,25-50K,上海 浦东新区 陆家嘴,3-5年,蚂蚁金服,互联网金融,C轮,10000人以上,周先生技术专家,Java基础扎实，理解io，多线程，集合等基础框架，对jvm原理有一定的了解；3年及以上使用Java开发的经验，对于用过的开源框架能了解它的原理和机制，对spring，ibatis，struts等开源框架熟悉；熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；掌握多线程及高性能的设计与编码及性能调优，有高并发应用开发经验优先；学习能力强，适应能力好，具备耐心、细心的品质；我们希望你对互联网或者J2EE应用开发的最新潮流有关注，喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队。,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游免费班车餐补交通补助零食下午茶,https://www.zhipin.com/job_detail/8be70087fe31e4a91Xxy29-6EFE~.html,https://www.zhipin.com/gongsi/6bbb9e0ebe9d06461nd_09--.html
12,Java,11-20K·13薪,上海 浦东新区 潍坊,3-5年,新致软件,计算机软件,D轮及以上,1000-9999人,邬女士hrbp,熟练使用Spring及SpringMVC开发 ，会Spring boot的优先；熟练使用常用持久层框Mybatis或者Hibernate；熟悉java多线程及并发线程池使用；熟练使用Mysq，Sqlserver等主流数据库基本操作，能一定sql优化经验,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游交通补助节日福利,https://www.zhipin.com/job_detail/9891b6a13b3007941H1z3Nm8E1s~.html,https://www.zhipin.com/gongsi/b0ed2c9c46764d661n1509i8.html
