,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,python,15-25K·13薪,上海,3-5年,圆通速递,物流/仓储,已上市,10000人以上,李女士HR,季度奖金,五险一金补充医疗保险,https://www.zhipin.com/job_detail/7441219e2d4e4b7703J-3du0E1M~.html,https://www.zhipin.com/gongsi/1ffb4a7b9d2fc3a71nx63dS-.html
1,python开发,8-13K,上海 浦东新区 金桥,应届生,中软国际,计算机软件,已上市,10000人以上,王女士人力资源,"Python职位岗位职责：1、负责手机相关测试自动化工具开发。2、程序界面开发，自动化设备控制。任职要求：1、统招二本以上学历， 计算机、通信等相关专业本科及以上学历，有1-3的python开发经验，熟练使用linux操作系统2、 有较强的程序设计能力，一年以上软件开发经验,曾经独立负责设计、开发、调试交付过模块级代码(1K行以上有效代码)3、 熟悉软件开发流程,理解敏捷开发理念,熟悉面向对象软件设计模式4、 会Java/C/Python语言，Python要求精通和掌握程度，能够根据需要引入Python开源库和第三方软件包，结合业务展开二次开发5、有图像处理的算法经验",五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/e34cb692ba5daf361Hxz09y8EVM~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
2,Python（上海360）,9-14K,上海 徐汇区 漕河泾,3-5年,绛门科技,计算机软件,已上市,500-999人,彭女士HR,语言：python/java，会一种或两种 ， 熟练使用 Linux熟悉常用的 Shell 命令​ 数据库：至少精通一种常用的关系型数据库精通postgresql优先熟练使用 Redis 等缓存系统;熟练使用消息队列系统，有elasitcsearch经验优先​,五险一金定期体检带薪年假节日福利,https://www.zhipin.com/job_detail/097276ac7a2f071803Zz2d25FlA~.html,https://www.zhipin.com/gongsi/3f9bb0b776e1b38c0Xx_39u9.html
3,python,11-15K,上海 徐汇区 漕河泾,3-5年,绛门科技,计算机软件,已上市,500-999人,李女士HR,1. 负责开发资产探查产品；2. 负责技术攻关和创新技术引用3. 指导和协调其他开发人员的工作。任职资格：1. 2年以上的后端开发工作经验有良好的计算机专业知识和扎实的编程功底，计算机相关专业本科及以上学历；2. 熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask等)，熟练使用正则表达式；3. 熟悉MySQL/Redis/MongoDB；4. 熟悉分布式、微服务、高性能Web服务的开发，有一定的系统架构设计能力者优先；5. 熟悉tcp/ip协议，熟练掌握网络基础知识；6. 有独立分析和解决问题的能力，有良好的团队合作精神。 加分项:1.同时有golang或PHP开发经验,五险一金定期体检带薪年假节日福利,https://www.zhipin.com/job_detail/bfddc943b5c1a10e03Vz2t29F1Y~.html,https://www.zhipin.com/gongsi/3f9bb0b776e1b38c0Xx_39u9.html
4,python开发,10-15K,上海 长宁区 北新泾,1年以内,altenchina,计算机软件,已上市,10000人以上,尹女士Hr,"1.1年python开发经验，统招本科学历，211或者海龟优先考虑2.英语能简单交流3.熟练使用python，了解Web开技术；4.熟悉linux,、git、web开发流程，了解mvc开发模式；3.熟悉mysql、mongodb、redis、nginx、tornado中的一种或多种；5.良好的编码习惯（测试）6,有意愿，有能力快速学习新的技术加分项目：1）有前端开发经验（Javascript,CSS）",五险一金补充医疗保险定期体检加班补助年终奖带薪年假节日福利,https://www.zhipin.com/job_detail/bd8c42abbea56fb81Hd92di8FFA~.html,https://www.zhipin.com/gongsi/3a2147294c741d8d03R-3ty4.html
5,Python,15-25K,上海 杨浦区 周家嘴路,3-5年,歌斐资产,互联网金融,100-499人,unknown,刘女士高级人力资源经理,具体职责：1.  根据业务需要，进行数据平台的设计和编码，要求代码高效且可复用。2. 负责各种数据源的采集入库，包括网络爬取。设计数据的清洗、处理和同步方案。3. 将现有R＆Scala编写的ETL流程翻译和合并到Python。4. 保证数据质量，负责数据验证。5. 创建基于Web的API和微服务。6. 进行一定数据分析和研究工作。任职要求：1. 相关领域全日制本科以上学历，包括计算机科学，自然科学，数学，经济学，工程学等。2. 至少3年的Python编程经验，精通SQL，熟悉ETL流程。3. 有较强的学习能力，能和团队融洽相处4. 较强的数据处理和数据可视化技能，可处理结构化，非结构化和半结构化数据。。5. 有处理大型数据集和并行处理的经验。6. 熟悉主流数据库，包括MySQL，Oracle，MongoDB等。7. 精通网页抓取原理和技术且有网络爬取经验。8. 熟悉数据处理和可视化相关Python包，包括pandas，numpy，scipy，pyspark，bokeh，ggplot，plotly，BeautifulSoup，Selenium等。,unknown,https://www.zhipin.com/job_detail/6c81a572e4a31a871HZ_2dS4GFQ~.html,https://www.zhipin.com/gongsi/2f5c4231dc21360c1XJy3tS1.html
6,Python讲师,25-40K,上海 浦东新区 航头,5-10年,传智播客,在线教育,不需要融资,1000-9999人,倪女士人事专员,岗位职责：1、负责基于Python数据分析的研究工作2、负责基于Python数据分析的授课教学工作；3、负责基于Python数据分析的课程案例制作和教学文档编写；任职资格：1、本科以上学历，具有3年以上数据分析经验，有过海量数据分析经验；2、熟悉运用SQL、EXCEL、R/Python等工具进行数据处理和分析；3、熟悉分类、回归、聚类等数据统计模型，具有一定的建模经验；4、熟练掌握NumPy和SciPy科学计算工具的使用；5、熟练掌握Pandas数据分析工具的使用；6、熟练掌握Matplotlib和Seaborn等数据可视化工具，掌握Bokeh交互式数据可视化者优先；7、熟悉数据挖掘的基本原理，熟练操作SAS、SPSS clementine等数据分析/挖掘工具的优先；8、熟悉大数据平台操作，熟悉Hadoop/Spark优先；9、具备良好的沟通能力和表达能力，有独立开展业务调研、数据分析、报告编写的经验；10、热爱数据分析工作，善思考、逻辑思维能力强，善于用简单语言表述复杂结论；,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/0e618a252a2290aa1HZy3NW4GVQ~.html,https://www.zhipin.com/gongsi/2bc0106521bb6f5533Jz3w~~.html
7,Python,20-40K,上海 浦东新区 张江,5-10年,微仓网络,计算机软件,天使轮,0-20人,郭先生CEO,Python主程序员使用过两门以上编程语言至少精通一门编程语言2年以上Python经验或5年以上开发经验靠谱的创业团队，待遇开放畅谈！是人才就一定会在这里闪耀！,扁平管理带薪年假免费零食公司氛围好不打卡SaaS应用,https://www.zhipin.com/job_detail/cc988dfa11d88a6803x939y9EA~~.html,https://www.zhipin.com/gongsi/80d512a5fa9ec9ec1Xx60tm_.html
8,Python,20-40K,上海 静安区 静安寺,3-5年,语酷网络,互联网,不需要融资,20-99人,李女士HR,1、三年以上开发经验，一年以上Python开发经验；2、具备良好的基本功，熟练使用基本的数据结构和算法；3、编写单元测试的好习惯；4、熟悉Django/Flask/web.py等框架之一（剖析过源码优先）；5、熟悉Python高级特性；6、熟悉非关系型数据库；7、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范8、Geeeeek,五险一金带薪年假员工旅游节日福利住房补贴零食下午茶,https://www.zhipin.com/job_detail/0c63b4ec4fd060d91nx52dq-FVc~.html,https://www.zhipin.com/gongsi/3df8c4eb466eef481nF529S9FA~~.html
9,python编程老师,6-11K,上海 长宁区 北新泾,经验不限,傲梦网络科技,在线教育,B轮,1000-9999人,黄女士招聘专员,【工作职责】：1. 根据学员情况，制定学员个性化教案；2. 按照公司要求，进行“在线1对1 ”授课；3. 定期汇报备课情况和教学进度，积极反馈学员上课情况。 【任职要求】：1. 全日制本科以上学历，计算机相关专业，能力优秀者可适当放宽，985、211院校、国外留学更佳；2. 熟练运用Python；至少熟悉Python一个应用分支（如web，游戏，爬虫，人工智能）的编程；熟悉pygame模块优先；熟悉HTML、JS、正则表达式、XPath等，有爬虫项目经验优先。3. 形象气质佳、普通话标准，有责任心，有亲和力，热爱教育事业、喜欢与小朋友沟通，有良好的沟通能力，较强的亲和力。,五险一金定期体检加班补助年终奖带薪年假员工旅游餐补节日福利零食下午茶十三薪,https://www.zhipin.com/job_detail/e09f10c5c05ab9681HZ4392_FFE~.html,https://www.zhipin.com/gongsi/f4a6fe7c15e5a1db1XB709i5.html
