,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Java,12-20K,南京,3-5年,Suning,批发/零售,已上市,10000人以上,肖先生招聘者,欢迎各位达人骚扰：基本技术要求，java+springmvc，技术栈：数据库mysql或oracle，mybatis，springboot，redis，mq等，有金融开发经验者优先。主要从事：银行企业系统交互平台，苏宁集团内相关资金业务，本部门主要承接集团实体资金出款业务，跨境电商交易，支付机构出款，票据业务，理财业务等对接开发本科&&3年以上经验了,五险一金定期体检年终奖带薪年假餐补通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/fe6fa86d29a5b3531HR42d-0FVU~.html,https://www.zhipin.com/gongsi/3f7ea70845126b991nB80t-8FQ~~.html
1,Java,16-25K,南京 雨花台区 宁南,3-5年,中兴通讯,移动互联网,已上市,10000人以上,刘先生DevOps团队架构师负责人,JAVA开发工程师能力要求:1.熟练使用linux2.熟悉开源中间件使用，例如nginx，redis3.java语言精通4.熟悉微服务开发体系知识，了解spring boot和spring cloud体系优势：1.技术栈强对标BAT2.为后续个人发展提供良好的跑道硬性要求：学历一定要是统招,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游免费班车餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/4e95b4d640b1ecfc1nx50t21FVY~.html,https://www.zhipin.com/gongsi/4fe616875c94a6c41nxy2dq-.html
2,Java,20-40K,杭州 余杭区 仓前,3-5年,阿里巴巴集团,互联网,不需要融资,10000人以上,高先生高级研发工程师,主要java后端。部门是天猫超市技术部，做供应链后台，官方的要求在下方，我也贴了一下，不过主要还是看重技术，只需要能够有自信的技术，怎么都好说。天猫超市技术部- Java 技术专家-供应链后台  岗位描述：1）从事供应链关商品、计划、采销、库存等核心产品的开发和技术架构工作；2）参与项目的设计方案评审，项目管理和技术难点攻关；3）深入理解业务，围绕业务的发展、产品规划等做技术规划，并且能够驱动落地 ；4）带领小组同学完成自己所负责域的产品技术目标，并且带领团队一起成长。岗位要求：1）3年以上J2EE开发经验，扎实的编程基础，精通Java开发语言，熟练掌握JVM，WEB开发、缓存、消息中间件等核心技术，拥有分布式、高并发的系统开发经验者优先考虑；2）具备良好的业务建模能力，能够结合业务场景抽象业务模型； 对供应链业务领域有沉淀的同学优先考虑；3）有一定的大数据分析经验，熟练掌握相关技术（Hadoop，Spark等），了解一些算法模型的同学优先考虑；4）有较好的结构化思维，沟通表达清晰，工作中善于解决复杂问题；5）对技术有热情，持续学习新技术，不断的推动技术创新；6）有优秀的团队合作精神，能够辅导团队成员，带动大家一起成长；7）有供应链相关业务实战经验优先，了解电商技术体系，有宽广技术视野,五险一金定期体检年终奖股票期权带薪年假节日福利保险,https://www.zhipin.com/job_detail/6836138e62f744eb1nNz3d67E1M~.html,https://www.zhipin.com/gongsi/5d627415a46b4a750nJ9.html
3,Java,20-40K,上海 青浦区 华新,5-10年,中通快递,物流/仓储,已上市,10000人以上,宋先生主任工程师,"- 负责分布式计算、大数据基础架构、工作流、数据服务等的设计研发- 负责java相关基础架构设计，解决系统中的扩展性、安全性、高性能等问题任职要求- 2-5年以上大型java web研发经验- 精通java，熟悉常用框架，如spring、spring mvc、mybatis、spring boot\spring cloud等- 优秀的数据库设计优化能力，至少精通一种数据库应用- 精通多线程及并发技术，精通socket网络编程- 扎实的计算机基础，熟悉常用数据结构和算法, 如递归、树遍历、图遍历等等- 熟悉linux，能熟练应用shell/python等脚本语言- 学习能力强，有较好的沟通能力，能迅速融入团队- 有搜索、数据仓库经验者优先- 较强的逻辑思维能力，具有较强产品意识者优先",五险一金定期体检年终奖带薪年假免费班车餐补提供宿舍,https://www.zhipin.com/job_detail/79f98182575aaed403N73d60EVQ~.html,https://www.zhipin.com/gongsi/d6fc88b600e7848b1nN93t-9.html
4,Java,25-40K·16薪,北京 海淀区 上地,5-10年,链家网,移动互联网,C轮,10000人以上,唐先生资深研发工程师,"岗位名称：高级/资深Java工程师岗位部门：人店平台中心-贝壳运营研发部产品线：CA产品线、贝壳加盟岗位职责：-有中台经验者优先、有DDD实践经验者优先- 深入发掘和分析业务需求，撰写技术方案和系统设计,最终完成编码工作；- 为团队引入创新的技术、创新的解决方案，用创新的思路解决问题岗位要求：- 5年以上web研发经验- 精通java，深入理解JVM，熟悉常用框架- 优秀的数据库设计优化能力，熟悉MySQL、NoSQL- 熟悉IO、多线程及并发技术- 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制- 熟悉linux，能熟练应用shell/python等脚本语言- 熟悉数据安全解决方案- 有良好的沟通技能，团队合作能力，勤奋好学- 喜欢新技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队；- 深入理解产品需求，优秀的抽象设计能力互联网基因：技术产品驱动，追求极致的线上、线下体验优秀，扁平，快乐，简单薪水：超BAT，让你满意，15-17个月环境与福利每周三次免费中医按摩，每周一次瑜伽课、游泳、篮球、足球…台球桌、乒乓球桌、桌上足球、PS4、XBOX ONE跑步机、动感单车、哑铃、倒立机…各类健身器材免费三餐，专业供应商，不用担心地沟油可自配办公设备，公司提供 10800元/三年 补助满足不同同学不同的需求，无论你爱Mac，还是Windows收起公司介绍贝壳找房http://www.lianjia.com北京链家房地产经纪有限公司（以下简称“链家”）成立于2001年，是以数据驱动的全价值链房产服务平台。提供二手房、新房、租房、旅居房产、海外房产等房产交易服务，并拥有业内独有的房屋数据、人群数据、交易数据，以数据技术驱动服务品质及行业效率的提升。经过15年的发展，链家目前已进驻北京、上海、广州、深圳、天津、成都、青岛、重庆、大连等32个城市和地区，全国直营门店数量超8000家，旗下经纪人近15万人。“新中介，新服务”。链家提倡理性购房，通过数据透明化、产品化和信息无差别分享，提高房屋流通效率，助力房地产市场稳定健康发展。链家将深耕社区，践行企业责任，同时也通过建立行业标准和规则，引领行业的创新和变革。未来五年，链家会以互联网技术和数据化产品，进行线上线下的打通，重构和优化服务流程，制定房产经纪服务标准，为用户提供更省心便捷的服务，实现卓越中国人的居住体验的企业愿景。链家以“推动行业进步，让房屋交易不再难，让经纪人职业化”为使命，希望通过持之以恒的创新以及大数据的探索和应用，建立和有效管理高质量的房地产服务标准，推动行业进步。同时，链家还致力为经纪人打造一个开放式的服务者生态平台，为经纪人提供更多的学习资源和成长机会。",扁平管理不打卡带薪年假免费零食领导nice移动互联网公司氛围好地铁周边,https://www.zhipin.com/job_detail/2b30fcacf3cbc34f1Xd-3d-6GVM~.html,https://www.zhipin.com/gongsi/7f730840762c98a41nN53d-6.html
5,JAVA,9-14K,郑州 金水区 祭城,3-5年,宇信科技,计算机软件,已上市,1000-9999人,贺女士人力资源助理,"【我们在找你：java开发工程师】【我们是----宇信科技--引领金融it行业前沿发展的上市企业--股票代码300674】【我们希望你：】1. 本科（含）以上学历，3年（含）以上的java开发经验，计算机专业毕业优先考虑；2. 熟练Java开发，能够完成本质工作；3. 具有高度责任心与抗压能力，能够快速学习互联网开源框架；4. 熟悉SQL，熟悉Oracle,Mysql数据库应用开发中至少一个，熟悉多线程开发5. 了解linux常用命令，有集群开发经验6. 能够熟练使用redis等互联网开源框架，具有一定的设计能力和文档编写7. 需掌握ssm、ssh、springboot等框架，有大型系统、移动类开发经验优先；银行渠道开发经验者优先； 【在宇信科技，你将享受到：】六险一金、餐补、通讯补贴、带薪年假、司龄假、补充医疗保险、暖心的节日礼物以及司龄礼物、定期体检、同自如，蛋壳，冠寓联合提供的租房优惠、订酒店折扣以及约车折扣、考驾照优惠、节日福利、PMS项目管理培训、技术专家俱乐部资源统统都有~",五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游免费班车餐补通讯补贴交通补助节日福利住房补贴,https://www.zhipin.com/job_detail/b048f3a22e3643441Xdz39-7FVA~.html,https://www.zhipin.com/gongsi/b0045d381ce69c711XZ639Q~.html
6,Java,8-15K,北京 东城区 雍和宫,3-5年,中科软,计算机软件,已上市,10000人以上,刘先生副总裁,熟练使用j2EE架构开发。熟悉java，jsp，js等技术熟悉数据库，oracle db2 mysql等了解互联网架构、微服务、分布式架构等技术。良好的沟通表达能力；积极乐观的心态与工作态度；统招本科及以上学历；有金融行业应用软件开发经验的优先；有小团队管理或小项目管理经验的优先。,五险一金补充医疗保险定期体检加班补助全勤奖年终奖带薪年假员工旅游餐补交通补助节日福利,https://www.zhipin.com/job_detail/be7e4f85bdbf0c251XRy2t67GFE~.html,https://www.zhipin.com/gongsi/e4b2c733e23c06761nZ53N0~.html
7,Java,15-30K,北京 海淀区 上地,1-3年,小米,互联网,已上市,10000人以上,夏先生技术主管,Java后端工程师任职资格1. 2年以上经验，熟悉数据结构与算法。2. JAVA基础扎实，熟悉JVM，JAVA并发编程以及常用设计模式。3. 熟悉mysql，redis，springboot(或springMVC)，了解mongodb，微服务，以及常用的消息中间件。4. 有较好的架构设计能力和学习能力；5. 良好的沟通能力，逻辑分析能力，以及解决问题的能力.6. 掌握go语言加分;工作职责1. 商业智能(BI)系统的后端设计与开发;2. 通用数据服务搭建;,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高,https://www.zhipin.com/job_detail/a17040b7978b689b1HR80ty6FFs~.html,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
8,Java,10-18K,南京,1年以内,软通动力,计算机软件,已上市,10000人以上,钱先生招聘者,开发前后台都可以   公司本部办公 不用出差外派 电信运营商 网络 手机终端项目都有  技术骨干  项目主管都在招聘,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/7f1b7eb562c441831X1_2dy-EVA~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
9,Java,8-10K,南宁,1-3年,中软国际,计算机软件,已上市,10000人以上,王女士hr,java：1、负责支撑客户技术对接、联调工作；2、负责解答客户对于接口协议、基本业务场景问题；3、负责实时业务运维工作，快速进行问题与故障定位，保持客户技术与后端开发直接的联系沟通；4、将日常问题收集、归档、反馈、回顾；5、协助并完成其他各类技术开发任务。岗位要求1）大专及以上学历，计算机科学或相关专业领域，并有2年以上java相关开发经验（初级、中级）；2）熟练使用Java及常用设计模式，有良好的面向对象设计思想；3）熟悉数据库开发，常用的算法，数据结构，各种网络通讯协议，网络编程和多线程编程；4）熟悉高并发、高负载、高可用性系统设计的设计开发及调优；5）有从事电信增值业务开发经验者优先；6）熟悉分布式、缓存、消息、搜索等机制，有分布式系统、集群架构设计和使用经验优先。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/e62cc5705cab145103d90969GFY~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
