,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Python,8-14K,大连,1-3年,中软国际,计算机软件,已上市,10000人以上,裴女士HR,"设计：有基本或详细设计经验技能：Python，PHP,RUBY数据库：MySQL手机APP： IOS,android",五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/d993226e165889711XVy2965FFc~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1,Python,10-15K,深圳 龙岗区 坂田,3-5年,中软国际,计算机软件,已上市,10000人以上,郭女士招聘者,要求：全日制二本及以上学历；有两年python相关岗位工作经验，会java者优先。东莞松山湖办公。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/93aee47fdae20caa1HF43d-6GFc~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
2,Python,10-20K,北京 海淀区 上地,3-5年,傲盾软件,计算机软件,未融资,100-499人,尹女士HRM,Python/Golang/Linux C/中高级研发工程师薪水范围：10-20k岗位职责：1. 安全云平台研发。2. 互联网安全产品研发。3. 经过公司岗位培训后，能快速学习Python和Golang开发语言，与C语言配合开发云平台。4. 快速学习安全云计算业务内容，理解并掌握，以运用到实际业务模块开发中。5. 快速学习公司云平台开发框架，理解并熟练使用，以开发相关业务模块。6. 基于Openstack开发和部署相关分布式网络操作系统，云计算管理平台。注：根据任务分工，各自完成以上部分相关工作。职位要求：1. 应届计算机及通信专业专科以上学历。（实习生如果自学能力强也可放宽此条件。在社会又参加完C/C++、Python培训的亦可）2. 大学其间，基于C/C++、Python的算法及数据结构学的扎实，开发过较复杂的业务逻辑模块。如果有实力或毕业设计等作品，可以带作品面试。3. 在大学学习有其它文体特长，品学兼优者优先录用。4. 有成熟的毕业设计和实习作品，且真实为本人实操，深入理解和运用。且较符合当前岗位需要的经验、算法亦优先录用。5. 对云计算、互联网安全、容器即云、Openstack、底层通信协议、分式计计算有强烈的学习兴趣，愿意未来投入全部精力深入钻研。薪资待遇：月薪（8000-20000）+奖金+年涨薪+五险一金+长期激励（期权、傲币分红）+年休假联系方式：微信：*****   手机：*****邮箱：*****,股票期权移动互联网互联网金融扁平管理领导nice地铁周边公司氛围好,https://www.zhipin.com/job_detail/075a3e7e6dabc0ad1nd52tq5FlY~.html,https://www.zhipin.com/gongsi/38ac42a1bce530750XZ-2Nu5.html
3,Python,12-24K,杭州 余杭区 仓前,1-3年,杭州河象,互联网,B轮,500-999人,王女士人事专员,Python后端开发工程师 10-20k基本要求：1. 计算机相关本科，2年以上Python开发经验，熟悉语言特性，有开发web应用的经验。2. 有良好的编码风格，能单元测试、集成测试、CI等改进开发过程和质量。3. 有常用关系数据库（MySQL，PostgreSQL）的使用经验4. 熟悉Linux操作系统，了解Docker、K8S相关技术，熟悉常用运维管理操作。5. 有良好的自学能力，对新技术能持续学习、保持好奇心，不断挖掘自身潜力。优先：1. 能使用Linux作为日常工作系统。2. 乐于分享，热衷于参与开源社区，曾参与过开源项目的开发。3. 良好的英文阅读能力，善于使用Google、stackoverflow等来解决技术问题。,五险一金加班补助年终奖带薪年假员工旅游节日福利,https://www.zhipin.com/job_detail/d9cb25931d44421403N-3929GVQ~.html,https://www.zhipin.com/gongsi/3a12f5d48d85ecde1nd53tq8FA~~.html
4,python,9-14K,东莞,1-3年,软通动力,计算机软件,已上市,10000人以上,刘女士招聘顾问,1. 负责基于python的软件快速开发、相关优化以及产品部署 ； 2、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题； 3、精通 python 语言开发，有1-3年以上后台开发经验； 4、熟悉web开发框架（django/tornado/flask），熟悉Linux操作系统及shell编程，熟悉BootStrap，熟练使用HTML，CSS，JavaScript等基本前端技术； 5、熟悉mysql，redis，mongo等常用数据库，具有数据库开发和设计能力； 6、了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术；,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/45d46ddca12401841Hx43tq-FlA~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
5,python,14-17K,深圳 龙岗区 坂田,3-5年,中软国际,计算机软件,已上市,10000人以上,章女士招聘专员,岗位要求：1、 4-5年工作经验，熟悉python，前后端都会优先2、 掌握web开发相关技能，熟悉Django框架3、 熟悉Linux操作系统，TCP/IP协议，掌握常用Linux命令4、 具有运维开发经验，基于Zookeeper的配置管理系统开发经验优先【薪资福利】：根据经验能力满足符合您期望的薪资，一年2-4次调级调薪，项目奖金和年终奖在年底一次性发放（具体多少由项目年终效益和个人工作产出来定），绩效奖金按照季度评选，一年四个季度，每个季度评比一次，拿到一个A有4000的绩效奖金，另外拥有华为IPD流程的学习（几百万系统），入职即购买五险一金、弹性工作制 8：00/9：00-17:30/18:00 、周末双休（若有项目紧急，TM项目则周末‘加班双倍费’）、年终奖、节日礼品、定点班车接送、加班晚餐补贴、带薪年假（入职即有年假）、轻松的办公环境、年轻的工作团队氛围好。中软国际华为项目欢迎您的加入！,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/0fe857418eef094203N639S-GFo~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
6,python工程师,15-25K,深圳 龙岗区 坂田,经验不限,软通动力,计算机软件,已上市,10000人以上,孟女士招聘顾问,"岗位要求：统招全日制本科以上学历，不限专业，16年及之前毕业的都可以。python爬虫方向1、熟悉Python定时任务框架：APScheduler,celery2、熟悉python爬虫框架：Scrapy shell3，熟悉多线程编程，linux/flask/diango/tornado/redis/mongoDBpython后端开发方向1.熟悉python 开发，理解IO,多线程，集合等基础框架，对JVM原理有一定了解。2.熟悉Linux配置和Shell使用，熟练数据库（Mysql，MS SQL SERVER使用，设计，调优）。3.有接口开发及性能调优经验者优先，大数据项目方向。以上两个技术方向有大量的需求，技能OK，薪资可谈，加班的话也有双倍加班费，技术领先，项目稳定，期待您的加入!!!",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/6153b8131f10cf0a1HJ43928GFo~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
7,python,10-18K,东莞,3-5年,软通动力,计算机软件,已上市,10000人以上,刘女士招聘专员,1.统招本科以上学历，3年以上Python开发经验；2.对Linux开发环境比较熟悉，能够熟练使用Shell 3.对Mysql数据库有一定的了解；,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/1ec0748b4e903c651Hd72tu1Els~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
8,Python,7-14K,西安 雁塔区,1-3年,中软国际,计算机软件,已上市,10000人以上,杨女士招聘主管,有一年半以上开发经验，能在se设计方案指导下完成子模块设计和开发，有云或者虚拟化相关经验优先,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/d0ced6948f51acc01XNz29m1EFA~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
9,python,12-20K,杭州 西湖区 文二路,3-5年,博彦科技,计算机软件,已上市,1000-9999人,松先生HR,"工作职责:1、从事数据处理平台的搭建和研发；2、参与数据服务API的框架的搭建、研发以及优化2、参与研发过程中的需求分析和架构设计；3、日常技术分享，文档编写，和其他各个职位沟通协作；4、致力于提高产品用户体验；任职资格：1、熟悉Python，编写过web应用程序；2、熟悉Django/Flask等任意Web框架一种或者多种。3、熟悉MySQL、sqlite3数据库操作，熟悉SQL语句编写和性能调优。4、有Linux环境使用经验，可以看懂并简单修改Bash/C/Python/Java代码。熟悉HTTP、XML等协议原理5、理解并使用过源码管理工具/单元测试框架 /自动化测试工具。6、沟通能力，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意识。7、本科及以上学历，3年以上工作经验。尽量本科 计算机专业                                                                                        运维测试/Linux测试开发：云计算相关 ；测试居多 自动化测试脚本开发、性能测试、交付运维 除了测试运维的，硬件维护的、IDC管理也需要 2、3年左右测试 或 测试开发 或 工具开发、运维经验 3、熟悉C、Python 或 Shell 编程语言，了解HTTP协议，有全栈开发经验 4、熟悉服务器硬件基本知识、运维操作和原理优先,如BMC、IPMI、Linux 常用命令等",五险一金定期体检年终奖带薪年假免费班车节日福利,https://www.zhipin.com/job_detail/d7887ea3aef7b9c51HVz39-7GFc~.html,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
