,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Python,20-40K,北京 海淀区 中关村,1-3年,爱奇艺,互联网,已上市,1000-9999人,雷先生高级技术经理,1. 有音视频编解码相关背景2. 熟悉ffmpeg，x264，x265，能熟练使用这些工具3. 熟悉hls，dash等流媒体协议4. 熟悉python或go开发5. 熟悉docker、mesos、k8s5. 有视频转码后台业务开发经验,五险一金补充医疗保险定期体检加班补助带薪年假餐补交通补助零食下午茶,https://www.zhipin.com/job_detail/42db2756750a587b1XN539-_E1M~.html,https://www.zhipin.com/gongsi/6fcd6bb018e7e8db1Xxz0t8~.html
1,python,8-10K,北京 朝阳区 酒仙桥,1-3年,绛门科技,计算机软件,已上市,500-999人,李女士HR,1. 负责开发资产探查产品；2. 负责技术攻关和创新技术引用3. 指导和协调其他开发人员的工作。任职资格：1. 2年以上的后端开发工作经验有良好的计算机专业知识和扎实的编程功底，计算机相关专业本科及以上学历；2. 熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask等)，熟练使用正则表达式；3. 熟悉MySQL/Redis/MongoDB；4. 熟悉分布式、微服务、高性能Web服务的开发，有一定的系统架构设计能力者优先；5. 熟悉tcp/ip协议，熟练掌握网络基础知识；6. 有独立分析和解决问题的能力，有良好的团队合作精神。 加分项:1.同时有golang或PHP开发经验,五险一金定期体检带薪年假节日福利,https://www.zhipin.com/job_detail/84812558385f2da603Vz39W6FlY~.html,https://www.zhipin.com/gongsi/3f9bb0b776e1b38c0Xx_39u9.html
2,PYTHON,15-22K,北京 朝阳区 三里屯,3-5年,特德营销,数据服务,未融资,20-99人,王女士行政,"岗位要求-	构建获取、处理与分析大量数据的复杂分析工具-	开发框架以解决大数据处理、数据仓库、数据可视化和开发/部署过程中的相关问题-	连接我们的服务与外部数据源-	解决方案的实现基于Python，Hadoop，ElasticSearch和React/VUE-	通过结对编程和同行代码审查等方法来保证代码的质量-	审查并改进产品的持续更新与集成，部署相关的解决方案-	管理为客户提供服务的基础设备-	促进DevOps流程的应用岗位要求：-	3年以上使用Python开发应用程序的丰富经验-	熟悉文档型数据库和非关系型数据库-	有爬虫开发经验者优先，熟悉大数据技术（Hadoop，HBase，Spark）、ElasticSearch，熟悉前端技术(AJAX, React, VUE)是加分项-	熟悉基于Linux的操作系统-	熟悉nginx、RESTful API的开发、数据库的查询优化和性能测试-	偏好测试驱动的开发方法，对自己的代码是否经过单元测试了然于心-	使用过第三方API，并了解如何检索数据（Google Analytics，微博，Adobe Analytics等）-	使用过自动化工具和自动化测试框架-	渴望研究新知识与新技术-	习惯在敏捷开发环境中工作，进行技术设计、实施、维护和测试-	流利的普通话和基本的英文交流能力",五险一金加班补助年终奖带薪年假餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/004bbf76e58d86a403J83t27FVs~.html,https://www.zhipin.com/gongsi/e3a20ca9cb73ae761HB739q0EQ~~.html
3,Python,8-10K,北京 西城区 德外大街,1年以内,乐博乐博机器人,培训机构,已上市,500-999人,佟先生西城区分公司经理,"岗位职责： 1，能够很好完成教学任务要求，为学生提供高质量的教学服务。                      2，能够帮助学生树立健康积极的学习心态和良好的生活习惯。任职要求： 1，教育背景：本科及本科以上学历。                                2，教师仪表仪容：符合教师仪容仪表，得体大方。                      3，专业技能：普通话标准，专业性扎实。                       4，工作经验：从事教学工作，有教学经验，计算机教学和学前教育教学者及会编程语言者优先。                     5，素质能力：有责任心，认真积极，热爱教育事业，能够激发学生的学习兴趣。                        6 ,会python 及语言编程者优先录用。",五险一金年终奖带薪年假员工旅游,https://www.zhipin.com/job_detail/16a56a145263195c1HZ53ty5Elo~.html,https://www.zhipin.com/gongsi/ccf86f6c1fbdc7f61nFy09i0GA~~.html
4,Python,15-17K,北京 顺义区 后沙峪,3-5年,金泰亚盛,计算机软件,D轮及以上,100-499人,王女士招聘主管,"后台开发人员岗位要求： 1)计算机相关专业，精通Python，本科2年以上 2)有Python开发经验，熟悉Python和Django技术； 3)熟练使用一种关系型数据库，MySQL、PostgreSQL、SQLServer等; 4)熟悉Ansible的部署和使用,具有运维平台开发经验者优先; 5)编码风格严谨，自学能力强，能较快掌握新知识；能够独立分析问题并解决问题；具有较好的质量意识和文档编写能力； 6)工作态度认真踏实，责任心强，良好的团队沟通、协作精神。",五险一金带薪年假员工旅游餐补节日福利,https://www.zhipin.com/job_detail/b70418289c6ca85803Fy2NS6GVM~.html,https://www.zhipin.com/gongsi/c37eef78f4987bf11nR93d-6GA~~.html
5,python开发,7-11K,北京 朝阳区 酒仙桥,1-3年,绛门科技,计算机软件,已上市,500-999人,沈女士人力资源招聘专员,后端的人员主要有以下要求：         语言：python/java，会一种或两种 ， 熟练使用 Linux熟悉常用的 Shell 命令​                     数据库：至少精通一种常用的关系型数据库精通postgresql优先         熟练使用 Redis 等缓存系统;熟练使用消息队列系统，有elasitcsearch经验优先​,五险一金定期体检带薪年假节日福利,https://www.zhipin.com/job_detail/7e1ea7b87b58554703R72t29FVo~.html,https://www.zhipin.com/gongsi/3f9bb0b776e1b38c0Xx_39u9.html
6,Python,15-30K,北京 海淀区 上地,3-5年,中睿天下,互联网,A轮,100-499人,胡女士人事部经理,岗位职责： 1、负责公司内部自动化安全平台和部分产品的开发； 2、负责对网络攻击或安全事件进行溯源分析；3、跟踪安全漏洞和安全事件，负责开发exp和poc脚本；4、负责最新的安全漏洞研究分析，辅助文档人员完成漏洞分析报告；5、负责对产品代码进行安全审计分析；职位要求： 1、熟悉信息安全领域的技术，有相关工作经验； 2、熟练掌握python，了解 分布式开发 框架3、熟练使用各种数据库软件及linux操作系统，Elasticsearch优先；4、有WAF，扫描器，入侵检测，SOC等安全产品开发经验优先5、专业基础扎实，熟练掌握常见 web、系统安全漏洞原理和解决方案6、具有良好的语言表达能力、文档组织能力；,五险一金补充医疗保险加班补助全勤奖股票期权带薪年假员工旅游餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/720b4fed5091a9371XF_3NS_EFs~.html,https://www.zhipin.com/gongsi/79b0e6fe06cd19571nV63du1EA~~.html
7,Python,10-11K,北京 朝阳区 酒仙桥,1-3年,绛门科技,计算机软件,已上市,500-999人,李女士HR,1.掌握sql语句的编写2.掌握linux基本常用操作命令3.掌握mysql数据库4.掌握python后台框架,五险一金定期体检带薪年假节日福利,https://www.zhipin.com/job_detail/b7d86514692aa2ba03B709y9GVA~.html,https://www.zhipin.com/gongsi/3f9bb0b776e1b38c0Xx_39u9.html
8,Python,20-40K,北京 海淀区 西北旺,3-5年,Aibee,互联网,A轮,100-499人,高女士HR,"岗位职责： 1. 负责数据生产工作流的开发与优化。2. 负责协调store 数据生产产品各模块，连接BI与数据挖掘。3. 应用报警, airflow, task manager等平台功能4. 开发工作流相关工具与报表，提高数据生产性能，稳定性。5. 分析评估数据质量并连接测试自动化。 任职要求：1. 拥有计算机等相关专业背景，2年以上开发工作经验，能够快速学习新技术；2. 具备扎实的数据结构和代码编写功底，精通一种编程语言：Python；熟练编写bash脚本。3. 具有Linux环境开发经验，熟悉docker, kubernetes, airflow 等工程运行部署架构与工具；4. 有工作流，大规模集群数据处理工作经验者优先。",五险一金补充医疗保险年终奖股票期权带薪年假餐补通讯补贴交通补助包吃节日福利零食下午茶技术氛围好,https://www.zhipin.com/job_detail/c77c1a909031c5131XNy2du8EVc~.html,https://www.zhipin.com/gongsi/be81a722c98789f61nN-2ty0GA~~.html
9,高可用与Python讲师,11-15K,北京 昌平区 北七家,1-3年,宏福职业培训学校,院校,不需要融资,100-499人,潘女士销售总监,技能要求：Python语言，高可用知识，课程设计 岗位职责： 1. 负责高可用与Python课程的讲授，课程辅导，解答学员疑问，保证学员的学习质量；2. 带领学员参加实训并指导学员完成实操项目； 3. 负责基于高可用与Python课程体系设计和完善； 4. 结合技术发展的发展变化，实时改进教学方法，完善教学体系； 5. 参与教学项目案例研发工作，配合完成相关的教学资料的研发工作； 6. 负责相关项目师资的培训和考核。 任职要求：1、计算机相关专业，大学本科及以上学历，具有1年以上一线运维经验，有能力进行项目开发者优先；2、热爱教育行业，有意愿成为讲师进行授课；3、较好的心理素质，能够承受压力，具有较强的事业心与团队协作精神；4、表达能力强，声音清晰自然，个性开朗，乐于与人交流；5、熟练掌握Python编程语言与高可用架构；6、有一年以上教学经验者优先考虑；,股票期权扁平管理领导nice公司氛围好,https://www.zhipin.com/job_detail/5e7c5fe0db65013703F-29-6GVs~.html,https://www.zhipin.com/gongsi/644296d96a846b8c1HZ929m4Eg~~.html
