,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,python,14-28K,杭州 滨江区 浦沿,3-5年,金烽信息,计算机软件,不需要融资,100-499人,唐女士人力资源部经理,1.3年以上Python工作经验，熟悉python2.熟悉oracle、MySQL、redis数据库性能优化、常用操作及相关开发3.熟悉zabbix开源运维平台部署及使用相关API集成二次开发4.有通信行业从业经验优先5.有无线优化经验优先,五险一金全勤奖年终奖带薪年假员工旅游节日福利,https://www.zhipin.com/job_detail/6ca7219e4379d6b603N53t65FVc~.html,https://www.zhipin.com/gongsi/38bab047703006c81XB629i8EA~~.html
1,python,18-25K·15薪,杭州 拱墅区 古墩路,5-10年,美创科技,信息安全,C轮,100-499人,史女士HRBP,13薪+年终奖,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游,https://www.zhipin.com/job_detail/d5bede90c76e731703F52Ni_F1U~.html,https://www.zhipin.com/gongsi/8ff8277c1d4d83e51XF439i6EA~~.html
2,python工程师,15-25K,杭州 西湖区 古墩路,3-5年,小余小余教育,移动互联网,C轮,1000-9999人,陈先生HR,*岗位职责:负责WEB后端框架层及业务层的实现，指导项目组成员完成开发负责应用的高级设计、功能实现并进行测试及部署分析用户及测试人员的反馈，修改现有服务器框架，达成最佳用户体验 *岗位要求:1、三年以上服务器端开发经验，熟悉Linux环境下的开发2、熟悉Python语言，熟练掌握Django、Tornado、Flask等至少1个Web开发框架，了解Tornado框架3、动手搭建过实际上线的产品环境，如Apache或者Nginx4、熟悉多线程编程5、熟悉Javascript / HTML / XML / JSON / HTML5 / JQuery6、熟悉SQL语言，熟悉MySQL或者Oracle，有SQL优化经验者优先7、有MongoDB、Redis、Memcached经验者优先8、有大数据处理经验或者高并发业务经验者优先 *其他要求1、具备良好的编码习惯及开发文档书写习惯，以及具备良好的系统分析设计能力2、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大的工作压力3、计算机或相关专业本科及以上学历，有扎实的计算机基础知识,五险一金股票期权带薪年假员工旅游餐补,https://www.zhipin.com/job_detail/6b8771dd44d696b81HJ43966F1E~.html,https://www.zhipin.com/gongsi/def302df6dbb794a1nR43tS5Fw~~.html
3,python讲师,8-13K,杭州,经验不限,小码教育,在线教育,C轮,1000-9999人,余女士人事,岗位职责：1.教学活动：负责班级日常教学授课和管理，教学效果评估，组织参与编程比赛并辅导；2.案例支持：每月提供优秀课研案例；3.沟通反馈：根据教学项目的阶段安排，负责组织家长会进行教学反馈；4.口碑续费：配合教务部门完成口碑续费任务；5.销售支持：负责体验课训练营的讲授，协助招生支持工作。任职要求：1.本科计算机相关专业；2.具备独立工作能力和学习能力；3.形象佳，亲和力强，有较强的沟通表达能力；4.耐心，吃苦耐劳，责任心强，有团队协作能力；5.有教育培训行业经验者或者相关教师资格证书者优先.杭州多个工作地点 就近安排,五险一金定期体检加班补助全勤奖年终奖股票期权带薪年假员工旅游餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/fb32144cb7dd765503Ry3ti8FVM~.html,https://www.zhipin.com/gongsi/f7f8ddf0deaa72f403Vy3du-.html
4,Python工程师,11-22K,杭州 西湖区 文教,3-5年,小余教育,移动互联网,C轮,1000-9999人,刘女士hr,*岗位职责:负责WEB后端框架层及业务层的实现，指导项目组成员完成开发负责应用的高级设计、功能实现并进行测试及部署分析用户及测试人员的反馈，修改现有服务器框架，达成最佳用户体验*岗位要求:1、三年以上服务器端开发经验，熟悉Linux环境下的开发2、熟悉Python语言，熟练掌握Django、Tornado、Flask等至少1个Web开发框架，了解Tornado框架3、动手搭建过实际上线的产品环境，如Apache或者Nginx4、熟悉多线程编程5、熟悉Javascript / HTML / XML / JSON / HTML5 / JQuery6、熟悉SQL语言，熟悉MySQL或者Oracle，有SQL优化经验者优先7、有MongoDB、Redis、Memcached经验者优先8、有大数据处理经验或者高并发业务经验者优先*其他要求1、具备良好的编码习惯及开发文档书写习惯，以及具备良好的系统分析设计能力2、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大的工作压力3、计算机或相关专业本科及以上学历，有扎实的计算机基础知识,五险一金年终奖股票期权带薪年假员工旅游餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/c1b3d4df639fc17903B42du4FlQ~.html,https://www.zhipin.com/gongsi/eda92c43755e1e6a1nZ92d4~.html
5,高级python,18-28K,杭州 余杭区 仓前,3-5年,杭州默安科技有限公司,信息安全,A轮,100-499人,严女士HR,"职责：负责tcp server的搭建维护、数据的分析处理、性能调优、架构设计与框架搭建职位要求：1. 本科以上学历，3年以上工作经验2. 熟悉TCP/IP通信；熟悉常用的数据结构与算法；3. 精通python, 熟悉Linux开发环境，熟悉多线程编程、网络编程, 4. 有高性能服务器开发、服务器系统架构设计相关经验5. 熟练使用mysql、mongoDB、redis等数据存储方案，并具有相应的性能优化经验6. 责任心强，主动、好学; 具备良好的分析解决问题能力，能独立承担任务加分项：1. 有高并发tcp服务、大数据处理、分布式等相关经验者优先",五险一金定期体检年终奖带薪年假员工旅游餐补节日福利,https://www.zhipin.com/job_detail/91fe34f522a706a21nx-2tW6E1o~.html,https://www.zhipin.com/gongsi/d0cfef7afad69b9603Vz2dW9.html
6,Python,12-24K,杭州 余杭区 仓前,1-3年,杭州河象,互联网,B轮,500-999人,王女士人事专员,Python后端开发工程师 10-20k基本要求：1. 计算机相关本科，2年以上Python开发经验，熟悉语言特性，有开发web应用的经验。2. 有良好的编码风格，能单元测试、集成测试、CI等改进开发过程和质量。3. 有常用关系数据库（MySQL，PostgreSQL）的使用经验4. 熟悉Linux操作系统，了解Docker、K8S相关技术，熟悉常用运维管理操作。5. 有良好的自学能力，对新技术能持续学习、保持好奇心，不断挖掘自身潜力。优先：1. 能使用Linux作为日常工作系统。2. 乐于分享，热衷于参与开源社区，曾参与过开源项目的开发。3. 良好的英文阅读能力，善于使用Google、stackoverflow等来解决技术问题。,五险一金加班补助年终奖带薪年假员工旅游节日福利,https://www.zhipin.com/job_detail/d9cb25931d44421403N-3929GVQ~.html,https://www.zhipin.com/gongsi/3a12f5d48d85ecde1nd53tq8FA~~.html
7,python工程师,15-30K,杭州 西湖区 古荡,3-5年,有赞,互联网,已上市,1000-9999人,王先生招聘者,"岗位职责：基础保障平台的平台化建设,包括CMDB,工单,容器化,权限,通知,监控,发布,容量,对账,组件管理等众多系统的需求分析、架构设计以及具体的研发工作。实现公司基础保障工作从自动化向平台化智能化方向发展岗位要求：有责任感，有上进心和持续学习的动力对运维工作有一定的理解和认识，有运维工作经验者最佳；熟练使用RHEL/Fedora或者CentOS系统；熟练撑握Python编程，熟悉Django/Flask框架；【必须】熟悉至少一种前端框架如vue, react, angular；有kubernetes,docker相关系统开发经验者优先",五险一金定期体检年终奖带薪年假员工旅游餐补通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/b8c760d7db277db91HNz3dS_F1U~.html,https://www.zhipin.com/gongsi/2d3069d763654fd433V60tQ~.html
8,中级Python,12-18K·13薪,杭州 余杭区 仓前,3-5年,杭州康策网络,医疗健康,不需要融资,100-499人,苏女士人事,"岗位职责：1、负责数据抓取系统的设计、开发和维护工作；2、设计抓取策略，改进调度算法，减少系统延迟，提升整体吞吐率；3、建立完整的数据获取、解析、入库和监控流程，优化系统瓶颈不断迭代完善；4、负责数据清洗、数据挖掘等相关工作；任职要求：1、统招本科，计算机相关专业，熟悉Python语法，3到5年python语言开发经验；2、熟悉HTTP/HTTPS协议、TCP/UDP、熟悉Socket、多线程、多进程编程，了解Shell编程；3、熟悉使用urllib、urllib2、requests、urllib.requests、urllib.parse、等网络模块；4、熟悉使用lxml、BeautifulSoup、正则、及json模块进行数据提取；5、熟悉Xpath语法规则6、熟练使用Selenium+PhantomJS(Chrome)实施动态HTML抓取；7、熟悉Scrapy, crawl Scrapy及Scrapy-redis分布式框架；8、熟悉numpy, Matplotlib, Pandas, scikit-learn, tensorflow优先9、熟悉应用MySQL、Redis、MongoDB数据库设计及SQL语句；10、了解数据结构，排序算法，熟悉各种常见设计模式；11、了解Javascript、jQuery、CSS、AJAX、HTML、等前端开发。",五险一金加班补助全勤奖年终奖带薪年假员工旅游通讯补贴节日福利住房补贴零食下午茶,https://www.zhipin.com/job_detail/021a63be22f538931XJ90ty6Els~.html,https://www.zhipin.com/gongsi/a12260d30fc368cd0XB90ti7.html
9,Python老师,7-12K,杭州 西湖区 文二路,经验不限,傲梦网络科技,在线教育,B轮,1000-9999人,李女士人事招聘,工作职责：1. 根据学员情况，制定学员个性化教案；2. 按照公司要求，进行“在线 1 对 1 ”授课；3. 定期汇报备课情况和教学进度，积极反馈学员上课情况。任职要求1. 全日制本科以上学历，理工专业,五险一金定期体检加班补助年终奖带薪年假员工旅游餐补节日福利零食下午茶十三薪,https://www.zhipin.com/job_detail/b033e19e8ffe73231Hd_2dS-FlA~.html,https://www.zhipin.com/gongsi/f4a6fe7c15e5a1db1XB709i5.html
