,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Python,10-15K,深圳 龙岗区 坂田,3-5年,中软国际,计算机软件,已上市,10000人以上,郭女士招聘者,要求：全日制二本及以上学历；有两年python相关岗位工作经验，会java者优先。东莞松山湖办公。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/93aee47fdae20caa1HF43d-6GFc~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1,Python,20-40K,深圳 南山区 科技园,3-5年,腾讯,互联网,已上市,10000人以上,王先生高级开发工程师,负责大规模运维系统开发，包括cmdb，发布，监控，容量管理等具备分布式系统架构能力熟悉python/golang 后端开发,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游免费班车交通补助包吃节日福利无息房贷,https://www.zhipin.com/job_detail/3ff9677f5b1e170a1XJ83Nu-FFQ~.html,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
2,Python,11-20K,深圳 龙岗区 坂田,3-5年,软通动力,计算机软件,已上市,10000人以上,尹女士招聘者,Python开发工程师1）熟悉Linux操作系统，熟练掌握常用命令2）熟练掌握Python脚本开发3）有分布式集群系统管理经验者加分4）有数据库运维、调优经验者加分5）有虚拟化实战经验者加分6）统招本科及以上学历至少三年工作经验，学信网可查学位证毕业证都有。能力匹配，薪资可谈,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/c45002d8f44bbd2803R42N60EVc~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
3,python开发,11-17K,深圳 南山区 科技园,1-3年,文思海辉,计算机软件,已上市,10000人以上,朱女士招聘专员,两个PYTHON开发岗位（一）AI人工智能部门，nlp方向的python开发。python的基本功要好，NLP是自然语言处理， 处理文本的。会有笔试环节，主要是python相关的基础题目。（二）做AI人工智能的（语音助手）python基础扎实，1年后台项目开发经验；熟悉数据结构与算法；有微服务开发经验优先。大专以上学历，学历要学信网或者民教网可查，自考也ok双休，六险一金，年末绩效奖。节假日礼品，团建活动，司龄礼物，满一年有全身体检；上下班有班车接送等等,五险一金定期体检加班补助年终奖带薪年假员工旅游交通补助节日福利优惠券,https://www.zhipin.com/job_detail/40f2efc753063c2a1HR62ti8FFY~.html,https://www.zhipin.com/gongsi/284f1b14cdbd38501nF80g~~.html
4,python,10-20K,深圳 龙岗区 万科,3-5年,软通动力,计算机软件,已上市,10000人以上,陈先生招聘顾问,"1、熟悉Python定时任务框架：APScheduler,celery2、熟悉python开发框架：Scrapy shell3，熟悉多线程编程，linux/flask/diango/tornado/redis/4，统招二本及以上学历。",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/63fa8905566064b01X162Nm0FlI~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
5,Python开发,11-20K·13薪,深圳 南山区 科技园,3-5年,软通动力,计算机软件,已上市,10000人以上,兰女士招聘经理,Python需求（Java转Python也行）的面试，每周一，周四，持续进行；面试过程主要考察编程能力，不会直接考python，所以有意愿学习python的开发人员，也是可以的。,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/365019d4b7d08ff203N72tm4GVM~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
6,python,14-17K,深圳 龙岗区 坂田,3-5年,中软国际,计算机软件,已上市,10000人以上,章女士招聘专员,岗位要求：1、 4-5年工作经验，熟悉python，前后端都会优先2、 掌握web开发相关技能，熟悉Django框架3、 熟悉Linux操作系统，TCP/IP协议，掌握常用Linux命令4、 具有运维开发经验，基于Zookeeper的配置管理系统开发经验优先【薪资福利】：根据经验能力满足符合您期望的薪资，一年2-4次调级调薪，项目奖金和年终奖在年底一次性发放（具体多少由项目年终效益和个人工作产出来定），绩效奖金按照季度评选，一年四个季度，每个季度评比一次，拿到一个A有4000的绩效奖金，另外拥有华为IPD流程的学习（几百万系统），入职即购买五险一金、弹性工作制 8：00/9：00-17:30/18:00 、周末双休（若有项目紧急，TM项目则周末‘加班双倍费’）、年终奖、节日礼品、定点班车接送、加班晚餐补贴、带薪年假（入职即有年假）、轻松的办公环境、年轻的工作团队氛围好。中软国际华为项目欢迎您的加入！,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/0fe857418eef094203N639S-GFo~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
7,python工程师,15-25K,深圳 龙岗区 坂田,经验不限,软通动力,计算机软件,已上市,10000人以上,孟女士招聘顾问,"岗位要求：统招全日制本科以上学历，不限专业，16年及之前毕业的都可以。python爬虫方向1、熟悉Python定时任务框架：APScheduler,celery2、熟悉python爬虫框架：Scrapy shell3，熟悉多线程编程，linux/flask/diango/tornado/redis/mongoDBpython后端开发方向1.熟悉python 开发，理解IO,多线程，集合等基础框架，对JVM原理有一定了解。2.熟悉Linux配置和Shell使用，熟练数据库（Mysql，MS SQL SERVER使用，设计，调优）。3.有接口开发及性能调优经验者优先，大数据项目方向。以上两个技术方向有大量的需求，技能OK，薪资可谈，加班的话也有双倍加班费，技术领先，项目稳定，期待您的加入!!!",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/6153b8131f10cf0a1HJ43928GFo~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
8,Python开发工程师,13-26K,深圳 龙岗区 坂田,3-5年,中软国际,计算机软件,已上市,10000人以上,农女士招聘助理,本科以上学历，良好的程序开发能力，大数据系统开发经验，熟练掌握Python等编程语言，3年以上python实际开发经验。掌握敏捷开发流程，具有良好的沟通协调能力。1，熟练使用python，有较好的编程习惯。2，熟练使用Django，ORM框架，熟悉MVC设计模式，熟练使用restful的API开发。3，熟悉MySQL数据库，或redis，Oracle，mongodb等数据库。4，掌握HTML5，css，jquery，bootstrap，ajax，echart熟悉Vue框架等。5，熟悉部署Nginx+uWSGI+Django，有部署过项目相关经验。6，了解中间件，有过中间件开发经验优先。7，有SDK开发经验。8、全日制本科学历,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/f73d65ae18d8ee9d03Z70tm-E1s~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
9,Python,10-15K·13薪,深圳 福田区 保税区,3-5年,雁联技术,计算机软件,不需要融资,1000-9999人,梁女士招聘专员,1、nlp方向的2、两年工作经验，计算机相关专业，学历学信网可查3、性格活泼、开朗,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游免费班车节日福利,https://www.zhipin.com/job_detail/e8f5f31e5c54126503F63Nm-E1o~.html,https://www.zhipin.com/gongsi/d7c526397c62e2853n152t-0.html
10,Python工程师,12-24K,深圳 福田区 沙头,1-3年,客路旅行,旅游,D轮及以上,1000-9999人,熊先生联合创始人 CTO,"【岗位职责】1、参与KLOOK Affiliate业务线的后端研发工作2、负责管理自身项目和需求的优先级、按时高质量交付3、与产品经理沟通需求，进行相关的技术文档编写，方案设计4、运用模块化、分层等系统设计思想进行开发工作，对自身所负责的线上服务进行监控和性能调优5、学习研究业界先进技术，保持技术进步【任职资格】1、熟练掌握Python/Java/Go等编程语言，具有扎实的计算机基础和编程能力，熟悉常见的算法与数据结构, 熟练掌握网络编程, Http协议, 能够解决常见的网络编程问题, 熟练掌握MySQL数据库2、熟练掌握常见的Linux服务器配置, 比如Nginx, Mysql,熟悉RESTful API设计，有过互联网业务系统或相关技术产品开发经验3、有较强的工作责任心和良好的沟通协调能力，能够快速定位问题并解决问题4、开源贡献者优先，GitHub源码者优先，技术博客者优先【KLOOK福利】1、舒适、健康、人性化的办公环境；2、扁平化的团队管理，业务飞速发展，你的能力和价值很快会被大家看到；3、开放和充满激情的国际化团队，男女高颜值并且比例协调，每个人都有那么一点传奇；4、独特的创业团队氛围会让你在完成工作之余，还有自己的时间学习、成长；5、还要跟Homie同富游：团队足迹踏遍国家50+，等你来一起占领地球；6、团队天天下午茶，周周小聚餐，月胖三斤不是梦。",五险一金补充医疗保险定期体检年终奖带薪年假员工旅游节日福利零食下午茶,https://www.zhipin.com/job_detail/023c0c20752c998a03Z93Nu1GFE~.html,https://www.zhipin.com/gongsi/d1531d59617cd8381XJz2dw~.html
11,Python,6-11K,深圳 南山区 西丽,1-3年,志鑫信息技术,计算机服务,不需要融资,100-499人,程先生部门经理,编写python脚本执行对应命令，系统开发。与后台系统进行通讯。处理爬虫出来的数据。熟悉shell脚本，熟悉linux。会用python执行shell脚本。接受江苏区域的出差现场开发，包吃住。,五险一金定期体检加班补助年终奖带薪年假节日福利,https://www.zhipin.com/job_detail/f658fa1fcb86d8171XF_2NS9Flc~.html,https://www.zhipin.com/gongsi/d89f094827c1a5891XJ_39y5Ew~~.html
12,python后台开发,14-26K,深圳 龙岗区 坂田,3-5年,软通动力,计算机软件,已上市,10000人以上,付女士招聘顾问,"熟练使用python，最少熟悉tornado、Django、flask中一种，构建过nginx + uWSGI + python的web-services者优先；熟悉Linux/Unix平台，能熟练使用python, shell 等脚本语言进行系统日志分析；熟悉mysql，熟练使用redis、MQ、celery等常用第三方组件；具备良好的阅读文档能力，学习能力和表达能力。完整的项目开发经验。统招二本以上学历优",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/1483f6652c10bd331X1-39-6GFY~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
13,python,12-17K,深圳 福田区 沙头,3-5年,顺势腾辉科技,计算机软件,不需要融资,100-499人,高女士招聘专员,"职位描述：1、Python 仿真代码优化、需求开发、代码维护；2、根据业务需求，进行代码建模，数据层逻辑构建，数据库orm设计；3、协调，沟通开发团队成员间的开发进度， 完成开发项目的管理；4、对负责的项目， 完成代码需求文档维护，更新；5、根据不同项目需求，完成对应开发接口文档需求编写；任职要求：1、本科及以上学历 ，计算机相关专业， 3年以上代码开发经验；2、至少精通Python，Golang, Shell等一种以上的开发语言， 熟悉Mysql，Mongodb, Redis等主流数据库， 有Hadoop, Spark等经验更佳；3、熟悉Python Pandas， numpy, simpy等库者优先；4、有大型分布式系统设计及开发经验优先；5、有较为规范的代码编写习惯， 对应代码的执行效率有较为深刻的理解；6、责任心强，具备团队合作精神， 踏实肯干，积极向上， 较好的沟通能力；",五险一金定期体检年终奖带薪年假员工旅游免费班车通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/d844ee5239056cb903J-2921FlQ~.html,https://www.zhipin.com/gongsi/3e84aa80406b22b41HF40t2_GA~~.html
14,python,12-16K,深圳 南山区 科技园,3-5年,顺势腾辉科技,计算机软件,不需要融资,100-499人,许女士招聘专员,负责科技生物特征识别应用平台的后台功能设计和开发 输出开发接口文档1、3年以上后台开发经验，精通python语言，熟悉restful api接口开发规范2、熟练掌握tornado等开发框架，熟悉redis、oracle、mysql数据库3、对http/https、多线程、协程有深入了解4、熟悉linux操作环境和命令，有后台接口开发项目经验5.熟悉软件开发和测试流程，能接受加班，主动性强愿意自学提高自身技术水平；,五险一金定期体检年终奖带薪年假员工旅游免费班车通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/798166bc3c81512703J52Ni1E1s~.html,https://www.zhipin.com/gongsi/3e84aa80406b22b41HF40t2_GA~~.html
15,python后台,10-15K,深圳 南山区 科技园,1-3年,软通动力,计算机软件,已上市,10000人以上,唐女士招聘顾问,"1、熟悉git、熟悉Linux和Http协议；2、熟悉python web框架flask或django, 有后台服务开发经验；3、熟悉SQL和数据库设计，熟悉python与数据库交互；",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/b9a1ae3f4307eb3f03B73d-_F1Q~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
16,python开发,12-24K,深圳 龙岗区 坂田,3-5年,中软国际,计算机软件,已上市,10000人以上,刘女士招聘专员,"云眼是对运维对象整个生命周期管理。运维对象包括主机、网络、域名、业务、人员、权限等等。云眼开发使用的是python，java,c++等语言，可以深入学习到运维开发架构和全面的运维知识1.熟练Python或JAVA或Go语言进行编程2.熟悉Linux ，Docker，MySQL、Redis等开源系统应用。3.具有三年以上软件开发经验。4.良好的沟通、协调、学习、创新能力，对解决具有挑战性问题充满激情；5.具有相关产品开发和设计经验优先对标互联网自动化运维平台，开发包括自动化部署、监控、配置、故障自动化处理等平台，提升运维效率龙岗区坂田街道岗头发展大厦7楼",五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/ed1c03b6d1801d2003F93Nm0E1s~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
17,Python后台开发,15-30K,深圳 南山区 科技园,1-3年,AKULAKU,互联网金融,D轮及以上,1000-9999人,曹先生招聘经理,"职位诱惑：牛逼的伙伴,专注的开发,舒服的氛围,薪酬待遇职位描述：岗位职责:负责风控后台系统设计与开发工作任职要求:1.2年以上后台开发经验2.熟练掌握python，但不局限于一种语言例如Java，了解常用python web框架(tornado等)3.扎实的数据结构语算法基础4.对并发有一定的认识5.熟悉Linux平台,熟悉常用的linux命令6.熟悉mysql,知道如何调优sql语句性能加分:1.有kafka，hadoop等数据开发工具使用经验，并且有深入理解。2.有过风控系统开发经验",五险一金定期体检年终奖,https://www.zhipin.com/job_detail/cdf7201850ead6e71nZz2dW7F1s~.html,https://www.zhipin.com/gongsi/5099acb74765a6b10nR_09m9.html
18,Python,9-14K,深圳 龙岗区 坂田,1-3年,中软国际,计算机软件,已上市,10000人以上,雷女士HR,1、二本以上学历，物流、数学类专业优先；2、熟练使用SQL、R、Python等工具；3、思维敏捷，善于沟通和分析，对数据驱动业务有深入理解，对数据和业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力；4、工作地点：东莞松山湖,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/765b8bb69a88c4ef03F82967EFc~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
19,Python爬虫工程师,15-30K,深圳 宝安区 西乡,3-5年,小步网络,移动互联网,B轮,100-499人,邓女士HRD,岗位职责：1、负责开发新爬虫和优化现有的爬虫2、负责网页信息抓取结果的抽取、数据清洗、分类、聚类等研发工作3、负责爬虫平台系统的架构以及爬虫核心算法的优化岗位要求：1、拥有3年以上开发经验，熟悉Python主流类库使用，熟悉flask/django/tornado框架；2、 熟悉Mysql，熟练使用redis、kafka等常用第三方组件；有DBA经验者优先；3、熟练掌握HTTP，TCP/IP，网络编程，爬虫技术；4、至少用过一款网络嗅探工具（Wireshark、Charles、Fiddler 等）；5、熟悉分布式系统，对网络和并发编程有丰富的经验，熟悉Linux/Unix平台，能熟练使用脚本语言进行系统日志分析者优先；6、喜欢尝试新技术，对于使用过的开源软件，能了解到它的原理和机制；,五险一金定期体检年终奖股票期权带薪年假员工旅游节日福利零食下午茶带薪病事假,https://www.zhipin.com/job_detail/aaa714242e10e5551H182Ni7GFE~.html,https://www.zhipin.com/gongsi/db706e016c3bbee70Hx92t21.html
20,python后端,10-15K,深圳 南山区 科技园,3-5年,乐瀛科技,互联网,不需要融资,20-99人,陈女士人力资源,职位描述：工作职责:1.负责Python Web后端开发2.负责应用功能设计和方案讨论，编写设计文档；- 负责功能开发与代码维护，完善开发接口文档3.负责产品安装与部署，协助测试，修复产品缺陷列表任职要求:1.熟练使用python 3~5年的工作经验，2013 年前毕业的暂不考虑2.熟悉Django/Tornado、Flask等主流框架，能够进行快速开发3.熟练使用MySQL数据库4.熟练使用CentOS5.要有互联网金融小额贷的工作经验。（必须）6.需要对PHP有一定的了解，最好使用过。,五险一金定期体检带薪年假员工旅游,https://www.zhipin.com/job_detail/c3ae914805cbfe5a03F-09-5FFc~.html,https://www.zhipin.com/gongsi/9259110328ccaf511XR70t-4Fw~~.html
21,Python,8-16K,深圳 龙岗区 坂田,1-3年,途灵旅行,旅游,不需要融资,20-99人,陶女士人力资源经理,"1.完成基于go/redis/mysql等技术的服务器端API开发，使之能支撑十万用户级的企业应用。2.负责项目的设计、编码、调优、测试及Bug处理3.负责产品服务端开发，不断进行产品演进，提高产品质量和用户体验；4.根据产品需求，写出良好的解决方案。岗位要求：1、计算机相关专业本科以上学历，1年以上相关工作经验； 2、了解算法、数据结构、TCP/IP网络通讯原理；3、熟悉 Go /Java / Python/C++任一种开发语言及其常用 4、熟练使用django,flask，tornado至少两种。两年以上开发经验。5、有nginx / mysql的使用经验；6、良好的英文文档阅读能力，有微服务架构经验优先；7、有旅游（机票/酒店行业）开发经验或区块链工作开发经验者优先",五险一金定期体检加班补助全勤奖年终奖带薪年假员工旅游餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/84c85801c1cafbb31XV509m4FVI~.html,https://www.zhipin.com/gongsi/59486026eb5091e11nx-2Ni-Eg~~.html
