,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Python,4-8K,苏州 吴中区 湖东,1-3年,苏州闻道,互联网,不需要融资,100-499人,张先生技术经理,负责公司python组工作，日常抓取、数据处理、任务分配等,五险一金定期体检全勤奖年终奖股票期权带薪年假餐补节日福利,https://www.zhipin.com/job_detail/a34de66fa3816af81nJ42du4ElE~.html,https://www.zhipin.com/gongsi/5c35d625f63a4d650nR829i_.html
1,Python高级工程师,10-15K·16薪,苏州,3-5年,苏州闻道,互联网,不需要融资,100-499人,张先生技术经理,工具项目成果发放1-4新年终奖,五险一金定期体检全勤奖年终奖股票期权带薪年假餐补节日福利,https://www.zhipin.com/job_detail/d41ab0d6d10dca4b03d90tW1GFU~.html,https://www.zhipin.com/gongsi/5c35d625f63a4d650nR829i_.html
2,Python,5-6K,苏州 吴中区 青剑湖,经验不限,雅沁电子,计算机软件,未融资,0-20人,顾先生技术总监,"1. 计算机视觉相关算法设计、实现及性能调优2. 算法的优化与工程化落地3.计算机视觉相关前沿技术的研究，主要包括SLAM, 机器学习/深度学习，目标识别等。",五险一金年终奖带薪年假员工旅游零食下午茶,https://www.zhipin.com/job_detail/739e2aa85c167e4203dy2ty_EVo~.html,https://www.zhipin.com/gongsi/61c6c5d59ae5764c1Xdz2dy6Fw~~.html
3,Python老师,6-11K,苏州 姑苏区 苏州大学,经验不限,傲梦网络科技,在线教育,B轮,1000-9999人,李女士人事招聘,工作职责：1. 根据学员情况，制定学员个性化教案；2. 按照公司要求，进行“在线 1 对 1 ”授课；3. 定期汇报备课情况和教学进度，积极反馈学员上课情况。任职要求1. 全日制本科以上学历，理工专业,五险一金定期体检加班补助年终奖带薪年假员工旅游餐补节日福利零食下午茶十三薪,https://www.zhipin.com/job_detail/8d009bb2d763279203d639W1EVM~.html,https://www.zhipin.com/gongsi/f4a6fe7c15e5a1db1XB709i5.html
4,Python工程师,8-16K,苏州 吴中区 临湖,经验不限,优尔,生活服务,不需要融资,500-999人,工程师,学习能力要强！喜欢新技术喜欢，熟悉linux系统熟悉Python各类基本库，具备一定C/C++编程基础，有良好的编程习惯熟悉虚拟化技术、熟悉网络知识、有良好的操作系统基础深入理解OpenStack核心组件职位职责：参与公司基于OpenStack的基础云平台项目的设计、开发、实施；负责云平台中虚拟化、分布式存储、虚拟化网络等子项目的具体设计和研发；负责基础云平台的基础技术运维和支持，根据项目需求二次定制平台功能；参与云平台的实施，保障所负责子项目的设计合理性和系统可用性；负责子项目的设计、开发、测试和运维等相关文档的编写。,mac办公扁平管理免费零食带薪年假年度旅游能力UP,https://www.zhipin.com/job_detail/480aea70631e16cd1n180tq5GVY~.html,https://www.zhipin.com/gongsi/4eeaae5da77289ae33By2dq1.html
5,python工程师,15-25K,苏州 吴中区 独墅湖,5-10年,图玛深维,医疗健康,B轮,100-499人,高先生招聘主管,岗位职责：1. 参与公司产品的设计与开发，保证系统稳定、高效运行2. 参与公司产品的维护、优化与调整岗位要求：1. 3年及以上开发经验，精通Python开发；2. 熟悉python常用框架，如Flask、Tornado；3. 熟悉常用的SQL及NoSQL数据库，如MySQL、MongoDB、Redis;4. 熟悉HTTP协议以及Restful API；5. 有良好的编码习惯，对代码和设计质量有严格要求，重视Code Review；6. 具有自我驱动、创新和团队精神，乐于沟通和分享；,五险一金定期体检加班补助年终奖带薪年假员工旅游交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/2f94b4003c8b97ae03Bz3t64E1c~.html,https://www.zhipin.com/gongsi/678a34ac89a4e71a03Z43N--.html
6,python工程师,7-12K·13薪,苏州,1-3年,玩友时代,游戏,未融资,1000-9999人,蒋女士招聘者,岗位职责：				1、负责游戏运维的工具系统开发和大数据分析的后台支持工作；				2、负责基础架构服务的上线部署、升级调试和优化工作；				3、协助开发人员进行系统测试、压力测试和参数调优等；				3、负责整改和优化现有的技术栈，自动化一切、code化一切，并参与到运维平台的开发建设中。				任职要求：				1、具有2年以上互联网领域相关项目开发设计工作经验；				2、熟悉Python/Django框架；				3、熟悉Linux操作系统或自动化工具saltstack/ansible。				加分项：				1、扎实的python基础，熟悉框架更佳；				2、对docker理解深刻，能够玩转热门的容器生命周期管理平台（k8s、swarm或rancher）；				3、赞同CI/CD的思想，并对发布流程、发布策略、分支管理等有自己的理解和看法；				4、自我驱动、持续改进。,五险一金定期体检全勤奖年终奖带薪年假餐补节日福利,https://www.zhipin.com/job_detail/66b41c3ba47b69fb1HB72d-9EFc~.html,https://www.zhipin.com/gongsi/a3b35b8f1fc2a8241HBz2Nq6.html
7,Python兼职老师,4-6K,苏州 吴江区 吴江,3-5年,上元经纬培训,培训机构,不需要融资,1000-9999人,张女士教务,岗位职责：1、充分备课，熟练掌握各种教学方法；2、及时跟进、记录学生的教学情况与信息反馈，并做出相应调整；3、达成教学目标，满足学生需求；任职要求：1、有2年以上的python开发经验2、语言表达能力强，应变能力强，富有影响力，有自己独特的授课风格； 3、具有敬业精神、品行端正、诚实、守信和良好的职业操守。,五险一金定期体检加班补助全勤奖股票期权带薪年假员工旅游通讯补贴交通补助零食下午茶,https://www.zhipin.com/job_detail/076b1ebcd9c8b9e103B63NS5EVQ~.html,https://www.zhipin.com/gongsi/88bd2c5e95aa4dd103J83N-4Fw~~.html
8,python爬虫工程师,8-13K,苏州 吴中区 独墅湖,3-5年,禾禾贯文,企业服务,天使轮,20-99人,吴女士人事助理,"岗位职责： 1、负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作； 2、负责非定向数据的清洗、整理、整合及合并等工作。 任职要求： 1、2年以上python开发经验； 2、精通Python，掌握爬虫技术，熟悉Python主流类库使用 3、熟悉Scrapy、pyspider、Selenium、PhantomJS等框架（深入了解其中一种） 4、熟悉基于正则表达式、XPath、CssSelector等网页信息解析技术 5、熟悉MySQL,Redis，MongoDB等数据库（深入了解其中一种） 6、熟悉Http协议，了解TCP/IP协议，熟悉Linux系统 7、熟悉应用IP池、Headers认证和Cookie等 8、有分布式爬虫、反爬机制经验者优先",五险一金定期体检全勤奖年终奖股票期权带薪年假员工旅游餐补节日福利住房补贴零食下午茶,https://www.zhipin.com/job_detail/e777af63e5d608b61HF73N64FVU~.html,https://www.zhipin.com/gongsi/533be7ce1e89ba351HZ42Ni-Fw~~.html
9,Python,8-16K,苏州,3-5年,信玉堂,移动互联网,未融资,100-499人,王先生副总经理,"后端研发工程师 千军易得一将难求，或将改变你我一生技能要求:1、熟练使用python， 熟练使用Django开发框架， 熟练使用MySQL、redist。 2、了解小程序， 了解js、jQuery。 3、熟悉docker,了解git。4、 有接口安全开发经验。 了解项目部署。岗位职责:1、负责后台核心模块的架构设计和开发、单元测试、功能自测； 2、负责项目架构的制定和优化，开拓和引入新的技术； 3、负责项目后端业务逻辑开发，与技术团队交流协作； 4、负责初、中级工程师的培养。 职位要求： 1、本科及以上学历，计算机相关专业，基础知识扎实； 2、聪明，学习能力强，有独立解决问题的能力； 3、三年以上的系统软件架构经验，精通Python/Go/Java/C++ 任一语言，有完整软件项目开发、迭代和实施经验； 4、良好的编程习惯，追求极致的代码品质，熟悉常用设计模式和一般项目的开发流程； 5、开朗上进，积极沟通，善于团队协作。",五险一金年终奖员工旅游节日福利,https://www.zhipin.com/job_detail/56b129e79df6db2a1XJ70ty9Flo~.html,https://www.zhipin.com/gongsi/5934455a6eb490711n140ty_GQ~~.html
