,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Java,10-15K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,郭女士招聘顾问,统招二本或者以上学历，学信网可查熟悉Java编程，熟悉Linux熟悉使用spring，springMVC，springboot等主流框架有两年以上相关工作经验，负责项目的研发,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/cf3a42a0ca3e469d1HB50t21GFE~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
1,Java,9-12K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,马女士HR,2015本 4年以上Java开发经验。技能扎实 沟通态度良好 熟悉dubbo redis mysql等技术主要工具开发对linux服务器  svn管理有一定的了解学历本科以上 学信网可查懂银行业务优先 负责中国银行手机银行项目开发 工作地点浐霸金桥三路1818号 中国银行项目,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/2fd78ce218d102ba1nF-2Ni7FVM~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
2,Java,9-18K,西安,1-3年,软通动力,计算机软件,已上市,10000人以上,刘女士招聘顾问,职位描述：1、熟练掌握SpringMVC框架；2、熟练掌握Mybatis开发，熟练hibernate学习能力强也可3、能通过手写代码实现模块的简单功能4、能快速理解并掌握项目要求，熟悉业务流5、对项目中所应用到的技术掌握熟练6、能承受较大的工作压力，责任心强7、会mysql数据库优化，分库分表。,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/90dd864818cbbcfb1nF-2NW5GFA~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
3,Java,12-24K,西安,5-10年,软通动力,计算机软件,已上市,10000人以上,任先生招聘顾问,"3年以上 Java开发经验，熟练掌握Java语言，熟悉 Java web/服务化 开发框架；熟练掌握主流框架（Spring/Struts/MyBatis 或 SpringBoot/SpringCloud）的使用和开发方法、java后台开发技能，能独立完成模块交付；具有良好的沟通能力,团队配合能力强。",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/1cc3a146241f15021XFz39u_GFE~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
4,Java,15-25K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,席先生招聘专员,1. java后台开发人员，3年以上工作经验，计算机相关专业，；2. 最好有springboot开发经验；3. 熟练掌握的基本框架的熟练使用等等。,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/7d6ab406652cbbd21XV40t2-FVM~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
5,Java,7-14K,西安,3-5年,中软国际,计算机软件,已上市,10000人以上,刘女士招聘专员,2年以上开发经验，熟练掌握JAVA开发，微服务有相关开发优先，做事认真仔细，沟通；良好统招二本以上学历,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/aaf3853bf2b23c560nR70ty8Eg~~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
6,Java,10-15K,西安 新城区 西一路,3-5年,宇信科技,计算机软件,已上市,1000-9999人,李女士招聘主管,岗位职责：1、负责指定模块的功能开发、测试工作；按时完成项目经理指派的开发任务；2、本人所负责模块的设计/测试文档编写；配合业务测试，对测试碰到的问题进行解答/解决。任职资格：1、拥有2年以上java开发经验，精通java开发，具有较强的java编程能力  或 熟悉python脚本语言。2、具有清晰的逻辑思维能力；工作认真细心。3、具有良好的沟通能力，沟通主动积极。4、熟悉Oracle或者DB2数据库编程；5、本科及以上学历，具有金融软件项目开发经验者优先；6、有兴趣从事金融IT业。,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游免费班车餐补通讯补贴交通补助节日福利住房补贴,https://www.zhipin.com/job_detail/143410e54cf3470b1HB80ti-E1A~.html,https://www.zhipin.com/gongsi/b0045d381ce69c711XZ639Q~.html
7,Java开发,12-15K,西安,5-10年,中软国际,计算机软件,已上市,10000人以上,刘女士招聘主管,Java基础，Spring/Spring Batch/Spring boot/Spring Cloud，熟悉Linux常用命令及脚本，熟练使用Oracle数据库,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/457f5a8d1981327703B53d61EFQ~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
8,Java,10-15K,西安,1-3年,中软国际,计算机软件,已上市,10000人以上,陈女士HR,1.统招二本及以上学历，两年及两年以上相关工作经验。2.具备扎实的java基础，熟悉面向对象编程，具有良好的编码习惯。3.熟练使用HTML/CSS、JavaScript、JSP、Servlet、Ajax、EasyUI等技术。4.有良好的沟通与协调能力，有良好的敬业精神与团队合作精神。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/ac07f0aa7e582e1103Z60tm_FVs~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
9,Java,8-16K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,曹女士高级招聘顾问,1 统招二本以上学历2熟悉java前后台开发3熟练使用linux系统 及相关数据库,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/29750342f26d81241XR809W0EVc~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
10,Java,10-15K,西安,1年以内,中软国际,计算机软件,已上市,10000人以上,杨女士招聘专员,1、计算机或相关专业本科以上学历，2年以上java开发工作经验；2、精通java+mysql开发，熟悉 MVC框架，熟悉struts、Spring、Hibernate/MyBatis框架；3、具有系统分析和系统设计经验，了解主流开发框架使用及原理；,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/5a03501099b0505003d_0967GVA~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
11,中级java,8-10K,西安,3-5年,陕西金合,数据服务,已上市,100-499人,孙先生人事,中级java初级工程师岗位职责1、产品的功能、安全、质量、性能需求在产品设计工作中的技术实现；2、软件架构设计，包括需求定义，接口和协议设计，数据库设计等；3、软件详细设计，如功能类定义，接口类定义，交互界面的设计等；4、根据详细设计文件进行代码实现和调试，并进行模块级测试；5、编写软件测试计划和测试案例，测试环境设计与搭建，实施具体的测试验证。任职资格1、	计算机或数学相关专业统招本科及以上学历；2、	有2年以上的研发开发工作经验3、掌握基础算法、有计算机程序语言基础者优先（语言不限）；4、对软件开发有足够的兴趣，学习能力强，有良好的团队合作精神；5、工作主动性强，有责任心，能吃苦；福利待遇：1、五险一金及商业保险，双休、法定节假日正常休息、出差补助；2、团队活动：户外拓展、郊游、聚餐、卡拉OK、文体活动等；3、工作氛围良好、同事关系融洽。,公司氛围好领导nice移动互联网,https://www.zhipin.com/job_detail/aabeea128856d5441XVz2ti4FlM~.html,https://www.zhipin.com/gongsi/00cebbc82c3bcea61nF829S8GQ~~.html
12,java,10-20K,西安,3-5年,中软国际,计算机软件,已上市,10000人以上,张先生招聘顾问,1、本科及以上学历，2年及以上工作经验；2、精通Java编程，熟悉Sqlserver数据库和相关编程技术；3、熟练使用Eclipse、PL/SQL Developer等开发工具，了解XML基本知识；4、熟练基于常用框架如：Spring、Hibernate或Ibatis等进行应用开发；5、有mysql开发经验者优先；6、有nosql数据库开发经验者优先；7、沟通能力强，愿意服从项目任务安排；8、抗压能力强，性格开朗。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/90debce03a96811a1XV72t65FlI~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
13,Java,13-26K,西安 碑林区 长安路,3-5年,爱尚金服,互联网金融,不需要融资,1000-9999人,姜先生董事长,java开发五年以上经验，态度认真，经历过金融系统搭建更好，有拼搏意识，可以融入现有团队，在北京上海深圳相关公司工作几年回西安的优先,五险一金全勤奖股票期权带薪年假员工旅游,https://www.zhipin.com/job_detail/3152b0dc1d246fc71Hdy2NW7FVo~.html,https://www.zhipin.com/gongsi/78e9f76e009107d803F829-9.html
14,java（高级）,10-12K,西安,5-10年,法本,计算机软件,已上市,1000-9999人,丁女士HR,java以接口为主，前端为辅1、软件工程、计算机相关专业本科以上学历；2、5年以上软件项目开发工作经验；3、熟练掌握springmvc、spring、mybatis、spring cloud等框架并有实际开发经验；4、精通Java Core/数据结构及算法/J2EE/JSP/Servlet/Java TCP/IP Socket/Spring/Ajax、JavaScript/Xml/FCKeditor等WEB系统开发技术；5、掌握软件分析、设计方法及设计模式，熟练使用PowerDesigner建模工具；6、掌握Jquery、react等开源项目；7、掌握XHTML，CSS，JavaScript，Ajax、H5等相关技术与规范；8、精通ORACLE\MYSQL\PGSQL等数据库，熟练编写存储过程；9、较强的技术文档编写能力以及解读能力；10、精通web项目大数据量交互开发及性能优化；11、具备较强的面向对象系统分析、系统设计经验；精通面向对象分析设计，熟悉设计模式；12、备较强的沟通理解能力，具备较强的架构设计表达沟通能力，具备较强的技术指导能力；13、有良好的沟通能力、协调能力和团队精神，能承受工作压力，富有进取心。14、能指导中级、初级工程师工作。15、有手机端开发经验，会Appcan的优先,五险一金定期体检加班补助全勤奖年终奖带薪年假员工旅游节日福利零食下午茶企业文化,https://www.zhipin.com/job_detail/2e8cfd2cac77719303J809u9EFc~.html,https://www.zhipin.com/gongsi/95b4b47ef9141c671nd52ty_.html
15,java中高级软件工程师,9-18K,西安 雁塔区,3-5年,中软国际,计算机软件,已上市,10000人以上,唐女士招聘专员,汇丰银行金融项目Java岗位描述：    1.独立完成互联网金融项目的分析. 设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；    2. 能够在团队中完成Code Review的任务，确保相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及安全的建    3. 独立完成部分较小规模系统的系统分析文档和详细设计文档的撰写；    4. 能够有效地对新人或普通开发工程师进行辅导，帮助其快速成长；    5. 维护现有平台系统，快速定位并修复现有缺陷。    任职资格    1.计算机相关专业，大专、本科及以上学历；     2 3年以上java及WEB应用软件开发经验，至少2年以上系统设计经验，并熟知软件开发流程；    3. 熟悉JSP，servlet，java bean，JMS，EJB，Jdbc开发，或者对相关的工具. 类库以及框架非常熟悉，如 Velocity，Spring，Mybatis，iBatis，OSGI等，对SOA的模式有较深的理解，对虚拟机. 以及Linux下的开发环境有 较深厚的开发经验；    4. 熟练使用oracle、 mysql等常用的数据库系统，对数据库有较强的设计能力，同时对数据库连接池的使用，线程池技术等较为熟悉者优先考虑；    5. 熟悉maven项目配置管理工具，熟悉tomcat. jboss等应用服务器，同时对在高并发处理情况下的负载调优有相关经验者优先考虑；    6. 精通面向对象分析和设计技术，包括设计模式. UML建模等；    7. 熟悉网络编程，具有设计和开发对外API接口经验和能力，同时具备跨平台的API规范设计以及API高效调用设计能力者优先考虑；,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/16584f8693e63e7d1nF439-6E1o~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
16,Java,10-20K,西安,经验不限,中软国际科技服务,计算机软件,未融资,10000人以上,尚女士HR,"1.统招二本及以上学历，两年以及以上相关工作经验2.具备扎实的Java基础，熟悉面向对象编程,具有良好的编码习惯3.熟练使用HTML/CSS、JavaScript、JSP、Servlet、Ajax、EasyUI等技术4.有良好的沟通与协调能力，有良好的敬业精神与团队合作精神",美女如云领导nice年终分红带薪年假公司氛围好移动互联网,https://www.zhipin.com/job_detail/3fb498bfac8c212f1nJ-39-0GVo~.html,https://www.zhipin.com/gongsi/65cd0d27d72e034d1XJy2dW_.html
17,Java工程师（西安）,8-13K,西安,3-5年,神州数码,计算机软件,已上市,10000人以上,李女士HRBP,"该岗位需要长期出差。该岗位需要长期出差。该岗位需要长期出差。Java工程师岗位职责：1、参加银行系统（新核心，企业服务总线、互联网开放平台、文件传输平台、流程组合平台等）开发工作；2、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4、根据公司技术文档规范编写相应的技术文档以及编写相应的说明书；5、负责业务系统的日常维护工作，解决生产上的问题和缺陷。任职资格：1、计算机科学、软件工程等相关专业专科学历及以上；2、3年以上软件开发经验，熟悉银行相关业务优先；3、熟悉J2EE及其相关技术及框架,具备较强的面向对象分析和设计能力4、掌握java、xml，html和JavaScript等相关技术；5、熟悉oracle、Mysql，sybase等数据库及SQL开发；7、具有较好的沟通交流能力，具有合作精神及主动工作精神。",五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补通讯补贴节日福利,https://www.zhipin.com/job_detail/8fc8b6b7553f94be03Z92Nm0E1M~.html,https://www.zhipin.com/gongsi/e39ebc65c8f10af21nx92A~~.html
18,Java,8-16K,西安 雁塔区,3-5年,软通动力,计算机软件,已上市,10000人以上,耿女士西安软通动力高级招聘顾问,"1.掌握JAVA面向对象编程语言，能够熟练运用Eclipse、IDEA、myEclipse、Mulesoft、Visual Studio Code等开发工具；            2.能够使用jsp、servlet、JavaBean进行web应用开发；  3.基本掌握Struts2、Hibernate、Spring、spring boot mybatis等开源框架技术，用Struts2.0进行大型项目的开发； 4.熟悉Oracle数据库,了解MS SQL SERVER、MySQL数据库，熟悉SQL语句； 等等",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/64f07da5066179c91XR80t26FFM~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
19,java工程师,9-14K,西安,经验不限,中软国际,互联网,已上市,10000人以上,刘女士HR,"1.学信网可查二本以上学历即可，17届之前毕业2.java基础好，常用的设计模式能够描述清楚，有web开发经验优先3.精通Spring框架,2年以上开发经验.4.至少熟悉一个主流的关系型数据库,如Oracle,有一定的数据库优化维护经验",五险一金补充医疗保险定期体检加班补助年终奖带薪年假餐补节日福利,https://www.zhipin.com/job_detail/447c20664e877b3d03V429m7Fls~.html,https://www.zhipin.com/gongsi/9719376cf2233b3b33Vz2N8~.html
20,Java,10-20K,西安,1年以内,上海易宝软件有限公司深圳分公司,计算机软件,已上市,1000-9999人,杨女士人事,岗位职责： 1、进行软件详细设计和编码实现，确保进度和质量； 2、维护和升级现有内容管理产品，完善现有系统。 任职要求： 1、本科学历，2年以上Java 开发工作经验； 2、精通Java编程相关技术；3、熟悉Linux系统 4、熟悉MS SQL/Oracle或者其他至少一种数据库 5、对各种开源的框架如Springmvc、Spring、hibernate等有深入了解，有较强的源码研究理解能力；6、熟悉TPC协议7、有微服务，云相关项目经验优先 8、具有良好的沟通、交流、需求理解能力，工作积极主动，责任心强，能承担一定的工作压力。,unknown,https://www.zhipin.com/job_detail/a1d3999023b003421X153Nu4ElE~.html,https://www.zhipin.com/gongsi/426f0b28b75476931XF529W1.html
21,Java,10-15K,西安,3-5年,武汉佰钧成,计算机软件,不需要融资,10000人以上,郑女士招聘者,"精通Java开发框架、精通spring框架（含spring boot\cloud）熟悉lombok,maven,junit等基本框架。大数据开发能力，精通spark\flink编程，特别是具备Java API编码能力，了解机器学习算法，在spark\flink项目经历：至少参与完成过一个基于spark平台和spring框架的项目开发工作。",五险一金补充医疗保险定期体检加班补助带薪年假员工旅游免费班车节日福利,https://www.zhipin.com/job_detail/107dde5b13aff4a71nJz0tu0FVQ~.html,https://www.zhipin.com/gongsi/437daeadae8f7aa41nR80tS9.html
22,Java,7-12K·13薪,西安,1-3年,中软国际,计算机软件,已上市,10000人以上,唐女士HR,Java开发，做云计算，大数据，微服务等项目，要求：1、统招二本及以上学历，两年及以上工作经验2、理工科及计算机相关专业。3.有微服务框架经验，springcloud，springBoot，springMVC,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/9d7e0d399ec0c4a01nd83tS-E1I~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
23,Java,8-15K,西安 雁塔区 唐延路,3-5年,西安盈达,计算机软件,未融资,100-499人,武女士HRBP,"1、计算机相关专业，统招二本及以上学历，编程基础扎实,有3年以上开发经验；2、熟悉java web主流框架， springboot、mybatis ， 二级缓存技术，熟悉分布式，以及微服务开发3、熟悉linux，熟悉shell编程优先4、熟练使用mysql，以及mysql存储过程的编写5、能够正确理解业务逻辑，有较强的业务沟通能力，数据库设计能力，对hadoop、 hive、 hbase有所了解,工作认真负责。",五险一金加班补助带薪年假节日福利,https://www.zhipin.com/job_detail/49b2ae37795e8bf21XB-3ti8EVQ~.html,https://www.zhipin.com/gongsi/aaea4cac87dd2f441XR-2tu-GA~~.html
24,Java,8-16K,西安,1-3年,航天宏图,计算机软件,A轮,1000-9999人,李女士HRBP,"岗位职责：1.软件代码编写工作；2.根据项目需求，按计划完成开发任务；3.协助测试人员完成软件系统及模块测试；4.解决系统中关键问题和技术难题5.学习项目相关业务知识以更好完成项目6.相关文档的编写任职要求：1.大学本科以上计算机、软件工程等相关专业；2.3年以上JavaWeb项目开发经验；3.Java基础扎实，良好的代码风格，理解常用的设计模式；4.熟悉Struts、Spring、Hibernate、Mybatis、JSP、jquery等技术，熟练使用maven、git、SVN；5.有MySQL、Oracle等关系型数据库使用开发经验，掌握数据库设计和优化知识，熟悉存储过程、函数、触发器的使用,了解NOSQL等非关系型数据库；6.强烈的责任心和团队协作能力，性格开朗，善于沟通，浓厚的技术学习兴趣，良好的逻辑思维能力并且敢于创新和接收挑战；7.接收西北地区短期出差；加分项：1、熟悉遥感数据、气象数据、相关业务信息化建设项目实施经验者2、熟悉GIS或地图相关开发福利：五险一金、双休、早9晚6、公司美女如云、工作氛围好",五险一金带薪年假员工旅游餐补包吃节日福利,https://www.zhipin.com/job_detail/9ca1b2185c4406721XV929y1FVY~.html,https://www.zhipin.com/gongsi/4a3f51d570b0562c1XR82d-_.html
25,高级java工程师,10-15K,西安,5-10年,中软国际,计算机软件,已上市,10000人以上,杨女士招聘主管,4年以上的java开发，se，架构师等，学历可放到三本，优秀的专业也可以。项目氛围好，,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/f7f4f180e784a8f21HZ83NS9EFo~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
26,高级Java开发,12-18K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,闫先生招聘顾问,熟悉Java主流开发框架，代码风格良好熟悉主流数据库统招本科以上学历，三年以上工作经验优先,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/ad73f69b27049fa703Fz39y_GFU~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
27,Java,10-15K,西安 雁塔区 鱼化寨,3-5年,澳鹏网络,电子商务,B轮,1000-9999人,代女士招聘主管,"岗位职责：1. 负责公司产品的开发, 维护工作，包括: web, touch产品；2. 可以独立进行模块设计, 独立完成相关业务功能开发；3. 负责模块内部应用相关技术的调研, 实现；4. 负责自己模块功能的单元测试及线上维护；5. 与UI设计团队配合, 完成应用开发；6. 与测试团队配合, 完成应用开发；任职要求：1. 3年以上java开发经验, 具有一定的抽象设计分析能力；2. 扎实的java基础, 熟练运用常用设计模式；",五险一金加班补助年终奖带薪年假餐补交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/ad714a025a48d98b1XV73d60GVs~.html,https://www.zhipin.com/gongsi/c1eceeafc956a61b1nd42920FQ~~.html
