,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Python,8-13K,西安,3-5年,中软国际,计算机软件,已上市,10000人以上,卢女士招聘者,后台:linux下的python后台开发，熟悉分布式软件相关开发技术,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/f65ea902e5c75f9c1HN52tq1E1Q~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1,Python,11-18K,西安,1-3年,软通动力,计算机软件,已上市,10000人以上,左女士招聘者,1：统招二本及以上学历，理工科专业2:工作经验2年及以上，熟悉私有云 或公有云例如PaaS，openstack，k8s，docker，go语言等技能的开发3：熟练掌握 k8s，docker这两个技能4：go开发、Python开发、java开发、开发&运维（掌握其中任何一个开发都可以）,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/c48a3a8f596efef31HR60t69FVI~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
2,Python,7-14K,西安 雁塔区,1-3年,中软国际,计算机软件,已上市,10000人以上,杨女士招聘主管,有一年半以上开发经验，能在se设计方案指导下完成子模块设计和开发，有云或者虚拟化相关经验优先,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/d0ced6948f51acc01XNz29m1EFA~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
3,python开发工程师,9-14K,西安,3-5年,中软国际,计算机软件,已上市,10000人以上,张女士招聘主管,python开发岗位要求：1、2年以上Python开发经验，两年以上Python服务端开发经验；2、熟悉MVC框架，熟练掌握Python web开发框架，精通Django或者其他Python web开发框架者优先；3、具备数据库设计能力，精通掌握MySQL者优先；4、熟悉Linux/Unix操作系统、常用工具和shell命令，熟悉Apache、Tomcat\Ngnix等web server的部署和应用【岗位职责】1、负责需求开发2、定位现网问题，并提供解决方案python自动化测试岗位要求：1、有系统软件测试经验优先；2、至少2年以上liunx环境下测试经验；3、能独立编写python自动化测试脚本或者shell脚本；4、有公有云经验优先考虑,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/c1a697095686b5cd1HV73dq8EFM~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
4,Python自动化测试,8-13K,西安,1-3年,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,赵女士招聘者,"任职资格：1、全日制本科学历以上，计算机等相关专业；2、具备Linux/UNIX的基本知识；3、掌握一般数据通信能力/IP网络概念和包分析(TCP/IP，交换机/路由器，wireshark/tcpdump)4、熟悉软件测试方法和工具，尤其是自动化测试；5、至少掌握一种自动化测试脚本：Shell/Python/Perl/Java/Tcl/TTCN;1、有虚拟化(如KVM、QEMU、libvirt)/云产品(如OpenStack、Docker)经验；2、有持续集成/持续交付(CI/CD)和测试自动化(例如Tempest)；3、有配置管理经验(例如Puppet、Ansible、SaltStack)；4、掌握devops工具使用(如Git, Gerrit, Jenkins, job DSL, MaaS)；",五险一金定期体检加班补助年终奖带薪年假员工旅游免费班车餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/82e032c4dae8ab8d1HB_09y5F1s~.html,https://www.zhipin.com/gongsi/deb8ee191fcc270203153Nu5.html
5,python,10-15K,西安,经验不限,中软国际,计算机软件,已上市,10000人以上,张女士招聘经理,1、本科及以上学历，计算机相关专业，具备2年及以上工作经验；2、熟练掌握python编程语言以及常用的第三方库，基础扎实；3、熟练掌握多线程下restful接口开发；5、有良好的团队协作及沟通能力。4、能产出高质量的代码，风格严谨工整，符合编码规范，兼容主流浏览器；4、熟练使用MySql、GuassDB及其性能优化，熟练使用shell基本命令，有windows和Linux系统下的开发经验；5、熟练使用Django、Tornado、Flask等web框架，熟悉orm；6、熟悉常用的软件设计模式，并对分布式、微服务开发有项目实战经验，有云计算行业经验经验优先；7、良好的沟通与组织协调能力，较强的执行力和责任感，能承受压力，思维敏捷；熟悉Linux系统及shell命令。熟悉python脚本书写，有自动化开发，或者后台开发工作的优先。有openstack安装部署经验的优先。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/402ca2f2740eadea1HJ829m6E1Y~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
6,资深Python,9-14K,西安 雁塔区 唐延路,5-10年,速橘丰信息科技,计算机软件,未融资,20-99人,刘女士HR Manager,"任职要求：a.大专及以上学历，5年项目经验；b.表达清晰、流畅、生动，逻辑性强，耐心，乐于沟通。技术要求：a.精通Python基础语法，HTML5，CSS3，JavaScript；b.熟悉HTTP协议，TCP协议，熟悉网络编程，多进程/线程编程；c.熟悉web开发流程，django框架；d.熟悉爬虫开发，掌握urlib, request, bs4, 能熟练使用ip池，头信息池，cookie池等技术应对反爬虫机制；e.熟悉scrapy框架，能使用scrapy框架搭建爬虫项目，熟悉分布式爬虫框架更好；f.了解自动化测试流程，熟悉selenium自动化测试框架，熟悉unitest单元测试框架，熟悉分布式自动化测试架构更好；g.熟悉MySQL, MongoDb, redis等相关数据库技术；h.熟悉numpy, scipy, pandas, matplotlib等数据分析库，能进行简单的数据分析；i.有Python机器学习，深度学习经验者优先考虑。",年终分红美女如云扁平管理领导nice地铁周边公司氛围好移动互联网,https://www.zhipin.com/job_detail/8e2d9963fe0d1ba31HN63Ny9FlM~.html,https://www.zhipin.com/gongsi/e8a0c77bdd8ad58a1XNy29m9GA~~.html
7,python讲师,6-11K,西安 雁塔区 唐延路,经验不限,傲梦网络科技,在线教育,B轮,1000-9999人,赵女士人事,【工作职责】：1. 根据学员情况，制定学员个性化教案；2. 按照公司要求，进行“在线1对1 ”授课；3. 定期汇报备课情况和教学进度，积极反馈学员上课情况。 【任职要求】：1. 全日制本科以上学历，计算机相关专业，能力优秀者可适当放宽，985、211院校、国外留学更佳；2. 熟练运用Python；至少熟悉Python一个应用分支（如web，游戏，爬虫，人工智能）的编程；熟悉pygame模块优先；熟悉HTML、JS、正则表达式、XPath等，有爬虫项目经验优先。3. 形象气质佳、普通话标准，有责任心，有亲和力，热爱教育事业、喜欢与小朋友沟通，有良好的沟通能力，较强的亲和力。,五险一金定期体检加班补助年终奖带薪年假员工旅游餐补节日福利零食下午茶十三薪,https://www.zhipin.com/job_detail/e2f737ec6e07d43b1HZ53tS5FFM~.html,https://www.zhipin.com/gongsi/f4a6fe7c15e5a1db1XB709i5.html
8,Python,9-14K,西安,1-3年,中软国际,计算机软件,已上市,10000人以上,陈女士HR,1.1-3年以上python开发经验，两年以上python服务端开发经验，对数据结构，算法相关知识有一定的了解，有项目开发经验。2.熟练掌握Python web开发框架，熟悉Flask、Django等常见框架以及原理，有前端开发经验。3.具备关系数据库设计能力，精通,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/299780effd5fe63d03Z53Ny4Flc~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
9,Python开发工程师,10-15K,西安,经验不限,中软国际,计算机软件,已上市,10000人以上,张女士招聘经理,1、统招二本及以上学历，具备1年及以上工作经验；2、熟练掌握python编程语言以及常用的第三方库，基础扎实；3、熟练掌握多线程下restful接口开发；5、有良好的团队协作及沟通能力。4、能产出高质量的代码，风格严谨工整，符合编码规范，兼容主流浏览器；4、熟练使用MySql、GuassDB及其性能优化，熟练使用shell基本命令，有windows和Linux系统下的开发经验；5、熟练使用Django、Tornado、Flask等web框架，熟悉orm7、良好的沟通与组织协调能力，较强的执行力和责任感，能承受压力，思维敏捷；熟悉Linux系统及shell命令。熟悉python脚本书写，有自动化开发，或者后台开发工作的优先。,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/eaf9568f821f148f03Z52tu6GVI~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
