,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,互金产品经理,20-40K,西安 碑林区 长安路,1年以内,百善财富,互联网金融,未融资,10000人以上,张女士主管,"1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责辖区市场信息的收集及竞争对手的分析；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略计划；",五险一金年终奖股票期权,https://www.zhipin.com/job_detail/ea58938b58ca6ba303J_0ti4FFI~.html,https://www.zhipin.com/gongsi/e3c139461e70d07e1X173N8~.html
1,产品经理,7-10K,西安 雁塔区 科技路西口,3-5年,慧联佰川,在线教育,天使轮,20-99人,刘先生HR,在线教育产品经理（7-10K）1、根据公司战略要求及业务策略，负责教育开放平台规划和设计整个产品生命周期的管理；2、通过学习快速了解平台的业务模式及商家需求并独立制定产品方案；3、与业务团队和技术研发团队紧密协同，协调资源把握产品的重点及核心竞争力。4、本科以上学历，计算机相关专业优先5、3年以上产品从业经验，负责产品设计流程及设计方案，较强的技术文档编写能力；6、在线教育、金融及电商行业经验优先。,五险一金年终奖股票期权零食下午茶,https://www.zhipin.com/job_detail/d5b5006a2fbc0d401HB63dy6GVc~.html,https://www.zhipin.com/gongsi/41f9ad455ff124361HBy3tu8Fg~~.html
2,产品经理,7-10K,西安 碑林区 文艺路,1年以内,美年大健康体检中心,医疗健康,已上市,10000人以上,魏女士销售经理,"岗位职责：工作内容:1、负责匹配政府机关，企事业单位的团体/个检体检需求，量身定制专业的体检套餐；2、做好检前、检中和检后一站式健检服务；3、组织安排客户的检后的健康讲座工作，做好客户维护工作；4、协助客户做好健康管理工作。5、工作时间：7:50-17:00,周休1天半。任职要求：1、大专及以上学历，医学/护理专业优先考虑；2、24岁以上，具备市场营销工作两年以上经验优先考虑；3、有医疗、保险、酒店、旅行社、烟酒，文具等对公业务工作经历者优先；4、热爱销售工作，热爱健康产业。福利待遇：1.底薪3000元+绩效工资+高额提成+月度、季度、年度奖金（年薪八万）；2.五险一金，带薪入职培训，无后顾之忧；3.年度体检，家属福利体检；4.国家法定节假日休息，过年假期近一个月；5.工作环境良好，团队氛围团结上进，不定期部门团队活动；6.带薪旅游。联系人：魏经理联系电话：*****邮箱：*****",五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/cb00bbb1488447871HR73Nq_FlE~.html,https://www.zhipin.com/gongsi/f151554ec2585ed51XJy09m1.html
3,软件产品经理,8-13K,西安,1-3年,佳帮手,互联网,不需要融资,1000-9999人,申女士HR,1. 负责调研、收集、整理开发部门需求，完成需求分析、产品定义和产品规划;2. 根据产品规划设计功能流程，撰写需求文档，设计产品原型;3. 负责项目进度管理，协调需求管理;4. 产品上线后，负责对使用部门进行功能培训;5. 负责跟踪用户使用情况、产品运营情况，进一步深挖需求，优化交互设计，完成产品功能迭代。岗位要求：1. 本科或以上学历，软件设计相关专业;2. 了解大数据分析软件产品，有相关工作经验;3. 精通APP等互联网产品开发，独立负责过至少一款完整的互联网产品;4. 良好的需求分析、产品规划能力；能够独立撰写分析报告、需求文档，设计产品原型;5. 精通用户体验和交互设计，熟练使用Visio、MindManager、Axure等工具;6. 了解软件开发过程，具备外包项目管理经验。公司福利：1. 福利：节日活动、提供赡养老人津贴、交通补贴等；2. 部门活动：聚餐 or KTV or 其他活动；3. 提供免费午餐，免费住宿；4. 集体活动：定期组织各种丰富多彩的员工活动；5. 年底奖金。,五险一金定期体检全勤奖年终奖交通补助节日福利零食下午茶赡养津贴工龄工资吃喝玩乐津贴免费药箱内部竞聘生日福利问题建议奖方案奖金免费住宿,https://www.zhipin.com/job_detail/ab12aef4eeb4f1971Xdz3ty_FVs~.html,https://www.zhipin.com/gongsi/cb77a2ef387ede6e1nd639m8FA~~.html
4,产品经理,15-25K,西安,3-5年,宝兰德,计算机软件,不需要融资,100-499人,赵先生副总经理,"职位信息职责：做好产品研发方向的调研；配合研发经理做好需求的落地；需要跟踪相关领域的新技术和新产品；和相关合作伙伴、客户以及公司技术支持部门做技术交流来获得产品需求；负责产品的需求分析和需求设计；跟踪产品实现过程是否偏离原定需求；对产品是否符合市场需求负责。资格要求：有一定的开发经验，对系统架构有一定的了解。有好的团队精神和事业心。有良好的沟通能力和需求抽象能力。对新技术敏感并有自己的独特见解。没有相关技术经验，纯业务方向产品经理请勿投，谢谢理解！技能要求：熟悉当前APM产品的市场情况，熟悉常见开源的监控软件，了解常见的开源组件，例如Tomcat, Nginx, Redis, kubernetes 等等；有云计算环境下的运维经验；具备下述特点更佳：有电信行业背景有统计分析和机器学习等相关实践经验有大型互联网应用的运维经验",五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补通讯补贴节日福利零食下午茶,https://www.zhipin.com/job_detail/df192b9940bb17a51HV-3dq6GFE~.html,https://www.zhipin.com/gongsi/2271c5b88198177d0HF82d-5.html
5,产品经理,8-13K,西安,3-5年,壹米滴答,物流/仓储,D轮及以上,10000人以上,吴女士招聘主管,任职要求：1、充分理解公司发展战略及各部门年度规划，收集和挖掘IT需求，进行合理的规划、分析，形成系统解决方案，并协调资源，推进实施；2、进行外部行业最佳实践对标，搜集行业内公司的相关的IT技术和设备的应用情况，结合公司的业务情况，分析其合理性和可行性，为业务部门提供方案；任职资格：1、3年及以上物流行业工作经验，全日制本科或以上学历；2、2年以上软件需求分析经验，有软件开发和大型行业应用软件系统方案撰写经验；3、熟练掌握软件工程或RUP的基本原理，能够使用UML编写分析设计文档，能熟练使用PowerDesigner、Visio、EA、Rose等至少两种建模工具；4、掌握常用设计软件，以及原型Demo制作工具，具有一定的用户界面设计能力；5、有较强的业务模型分析能力、沟通能力和文档编写能力；6、具有良好的团队意识和合作精神，擅于协调与沟通，能挖掘并引导客户需求；7、具备激情、敏锐的观察力、分析和创意能力，思维严谨，善于发现并理解业务需求；,全勤奖带薪年假餐补节日福利定期团建,https://www.zhipin.com/job_detail/157faee477cab1f51XR_3tq1F1M~.html,https://www.zhipin.com/gongsi/1dbe6fe67eb6b0e01H152Nm0.html
6,化妆品产品经理,8-12K,西安 未央区 张家堡,3-5年,瑞丽诗连锁,医疗健康,不需要融资,500-999人,苗女士产品总监,产品经理1.根据运营情况，数据分析，制定产品计划2.与库存管理及采购配合沟通，以月度为单位，制定生产补充计划，确保完成产品补充3.根据产品市场反馈，对产品进行配方功能升级，产品淘汰及新品计划4.新产品的研发，测试以及上市前的全部工作5.产品资质，备案等全系列工作6.产品生产跟进，确保每批次产品生产质量7.供应商管理：供应商寻找，供应商洽谈，供应商关系维要求：性别：不限年龄：28岁以上35岁内学历：大专以上专业：采购管理/供应链背景：化妆品工作背景优先熟悉化妆品研发，备案，测试，生产，仓储等全部流程,五险一金定期体检加班补助全勤奖年终奖带薪年假员工旅游餐补交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/7a477a145401d10703B63N-5ElA~.html,https://www.zhipin.com/gongsi/b496512dba413e831nJz0tW6.html
7,产品经理,8-12K,西安 未央区 张家堡,经验不限,海云数据,互联网,B轮,500-999人,闫女士运营经理,1、面向公安、交通、安监、消防等行业；根据前期与客户需求调研的情况，将客户需求转化为系统设计，制作界面原型和编写需求规格说明书；2、与售前工程师、项目经理、设计、研发等角色紧密合作；3、持续进行行业市场的调研、分析，以及对于过往项目的复盘提炼有价值、可复用的内容；任职要求：1、本科及以上学历，数据可视化经验优先；2、熟练使用 Office、Process on、Xmind、Axure等工具；3、对数据可视化的新技术、新趋势具有较高的敏锐度，愿意主动探索和学习，能接受出差；4、两年以上工作经验。,五险一金年终奖股票期权带薪年假员工旅游交通补助弹性工作制,https://www.zhipin.com/job_detail/9afbbf975f18c12903J-2tq_F1c~.html,https://www.zhipin.com/gongsi/5507f2ee5223d0431n1z2ds~.html
8,产品经理,9-14K,西安 雁塔区 高新路,3-5年,酷渲北京科技,移动互联网,A轮,100-499人,陈先生招聘者,怎么定义好的产品经理？我们通常通过以下几个方面看待产品经理这个角色：你是否清楚自己所做事情的价值？你是否了解你设计的产品在用户中的口碑如何？你是否能够主动倾听别人的意见，能够使用所有人听的懂得方式推演你的想法？你是否能在同质化竞争激烈的行业中引领产品路线，给行业开辟新赛道，而不是和别人挤已有的赛道？如果以上问题，你的回答都是肯定的，那么与我们一起做点儿事情，让这个行业更健康，同时让你在同僚担忧中年危机的时候自己成为数钱度假混吃等死的嫉妒对象职位详情1.作为内容互动产品的项目负责人，负责产品研发整体进度。2.能够基于公司战略、客户需求和产品发展方向，制定具体产品优化计划，探索学习模式和技术升级的结合点。3.把握行业趋势，定期跟踪、分析行业动态及竞品，并提出相应的产品对策。4.可独立完成产品调研、设计、协调内外部资源，高质量地完成项目落地，参与产品运营和推广，并通过效果分析，不断推动产品优化。任职要求1.本科及以上学历，5年以上产品经理工作经验。2.有培训学习、知识付费产品运营经验，主导并负责过产品的整体设计和执行工作。3.沟通能力强，学习能力强，有追求极致的精神。是产品经理的正规军出身，对于产品的需求调研、设计和交付有清晰的标准和管控能力。4.有互联网企业排名前10强大厂工作经验者优先。,五险一金加班补助年终奖股票期权带薪年假员工旅游节日福利零食下午茶,https://www.zhipin.com/job_detail/b9315c824f49c33d1HJ52tS0EVc~.html,https://www.zhipin.com/gongsi/b7742f63a86241f73nR_3t65.html
9,产品经理,4-6K,西安,1-3年,安捷物联,互联网,B轮,500-999人,王女士招聘者,职位描述：1、用户需求沟通，售前方案制作2、售前、售后技术支持3、项目管理职务要求：1、具备智慧城市、楼宇自控、系统集成等知识基础2、具备项目管理经验3、学习能力强，熟悉电力，消防、安防、照明，空调，水等系统知识4、熟练使用各类办公软件，具备良好的文字功底,五险一金定期体检年终奖股票期权带薪年假免费班车通讯补贴交通补助包吃生日礼金,https://www.zhipin.com/job_detail/c6bf40650192ab7703J40926EVo~.html,https://www.zhipin.com/gongsi/f898f91c866725561HJ93t-_Fg~~.html
10,产品经理,4-6K,西安 雁塔区 唐延路,1-3年,医邦医疗服务集团,医疗健康,不需要融资,500-999人,张女士人力资源经理,岗位职责：   1、收集与发现用户使用过程中的体验问题，提出逻辑清晰有创造力的解决思路；2、 负责客户端、策略、后台等产品功能的设计工作，并产出完善的产品需求文档；3、 与设计、运营、技术等合作部门沟通协作，推动产品的实现与最终效果的评估；4、梳理产品功能，服务目录和发展路线图；5、研究行业内用户习惯、价值取向、生活方式等，挖掘用户需求；6、分析用户需求、使用场景，负责部分功能模块产品设计，并撰写和维护产品需求文档；7、跟进开发过程，推动设计方案在开发结果的最终实现；8、整理产品功能、设计的迭代需求；9、配合运营部门完成产品运营状态，并收集产品反馈意见和建议。 任职资格：1、本科及以上学历，专业不限，2年相关工作经验；2、思维敏捷，逻辑缜密，性格开朗，责任心强，表达能力与沟通能力较强，有良好的团队协作意识; 3、熟练掌握office；4、熟练使用PPT、图表、办公软件等工具。,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游餐补通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/9fdf4975f85962f71HN83tW9EFU~.html,https://www.zhipin.com/gongsi/4601d1d87e93f8f51HZ50tm_Eg~~.html
11,产品经理,5-10K,西安,3-5年,惠恩资本,互联网金融,已上市,100-499人,高先生联合创始人&执行董事,需求整理，产品报告，需求分析，技术对接，技术工作安排，监督，后期验收。有相关资源者优先,五险一金全勤奖年终奖股票期权员工旅游通讯补贴交通补助节日福利,https://www.zhipin.com/job_detail/1aba4ea7b9ddcfa91XJ-3tW_FFA~.html,https://www.zhipin.com/gongsi/48eca100e31211921HR52Ni_.html
12,产品经理,8-12K,西安 碑林区 文艺路,3-5年,北佳信息,计算机软件,不需要融资,100-499人,陈女士人事经理,职位描述：1.负责政府、企业端的产品设计工作，挖掘需求、输出方案，并能高效转化为产品功能，推进并实施落地；2.跟踪产品数据、跟踪客户需求，挖掘新功能点；3.参与产品的运营相关的推广、活动、运营策划，并提供产品支持；协同技术、运营、市场团队，完成项目目标。任职资格：1.本科以上学历，3年及以上产品设计经验；2.精通Axure应用，能够设计高质量产品原型；3.具备良好的需求分析能力，能够快速搭建业务架构及对应的功能架构；4. 具备良好的产品包装能力，能够输出合乎业务逻辑的用户故事；5. 具备优秀的office（Word、Excel、PPT）软件应用能力，能够高效输出产品包装案；6. 熟悉PC端、移动端产品设计规范，能够输出高应用性设计方案；7.了解主流的软件开发技术、编程语言。,股票期权领导nice年度旅游带薪年假公司氛围好免费零食地铁周边,https://www.zhipin.com/job_detail/62082ba5f0fee8e403Z83tu4F1Q~.html,https://www.zhipin.com/gongsi/27fa1c4def40bff41nV53Nq5EQ~~.html
13,产品经理,5-8K,西安 雁塔区 唐延路,1-3年,知医堂,互联网,不需要融资,100-499人,曹女士人事主管,岗位要求： 1 、依据公司营销策略和目标，负责公司化妆品的渠道规划，制定年度产品推广方案； 2 、根据品牌发展的目标，组织与公司各层面的策略沟通工作，确保公司品牌与产品推广 策略得到公司内部资源支持；灵活运用公司内外资源为品牌发展服务。 3 、负责产品资料的整理和提供； 4、定期提交渠道建设报告，对渠道发展及业绩进行总结； 5 、负责与研发部的沟通与协作、信息交流。 6 、负责公司内部的产品培训。 任职资格： 1. 大专以上学历，化妆品公司或日化产品企业产品、品牌或市场相关工作经验，；2. 有好的向上、横向、向下的沟通能力，有较强的组织协调能力和抗压能力； 3. 较强的创造性，对产品开发有独到理解，有丰富的产品开发、产品推广和产品管理经验； 4. 对互联网用户的心理特点有比较准确的把握，对于化妆品行业有高度的敏感性。,全勤奖带薪年假员工旅游餐补节日福利,https://www.zhipin.com/job_detail/4404df8007f935351nJ83t-5FVs~.html,https://www.zhipin.com/gongsi/1af02e6bf51bbd561HJ62dS6.html
