,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,python,12-22K,广州 天河区 珠江新城,1-3年,广州宇创天成,计算机软件,不需要融资,20-99人,HR,"1.核心分布式服务器开发；2.Linux服务器端需求分析、架构设计及开发；3.高效的与前台开发合作设计编码和调试；4.对提供服务的系统进行长期持续的观测、优化和维护，使得能够适应业务模型的变化。任职要求：1.统招本科及以上学历，计算机或相关专业；3年或以上后端开发经验；2.熟悉多线程、精通TCP, UDP, HTTP等网络协议；3.熟悉java/ python/C++/PHP等任意一种后端语言即可；4.熟悉关系型数据库MySQL、Oracle等，熟悉事务原理、SQL优化；5.熟悉分布式系统的设计及应用，如分布式缓存、消息队列、负载均衡等机制6.熟悉Linux开发环境，精通GCC, make, gdb等编程调试工具；7.对工作充满激情，具有强烈的创新精神，富于责任心；8.有分布式开发经验和架构思想者优先考虑。我们的福利有：1、5天7小时工作制，弹性工作时间2、丰富多样的下午茶、节日福利、生日福利3、丰富的团建活动（羽毛球、篮球、骑行、爬山、部门聚餐活动等）4、入职即买五险一金、带薪年假、13薪、项目盈利奖金5、年度调薪、扁平化管理、轻松的工作氛围",五险一金年终奖带薪年假员工旅游节日福利零食下午茶,https://www.zhipin.com/job_detail/3bc158c7a5b332d01HR729y7EFc~.html,https://www.zhipin.com/gongsi/394bc7472273cf151nx429q7EQ~~.html
1,Python 爬虫工程师,12-20K,广州 番禺区 大学城,1-3年,有米科技,移动互联网,已上市,500-999人,李先生技术经理,"职位描述:1. 负责数据产品平台爬虫系统的设计、研发与维护2. 设计爬虫策略与算法,提升抓取效果3. 持续优化系统,提高系统的稳定性及性能职位要求:1. 熟悉 Python,有较丰富的爬虫系统开发经验2. 熟悉常用的数据结构和算法,熟悉常见设计模式3. 熟悉网络编程(TCP/HTTP 协议),具有 Linux 下编程经验和操作经验4. 能够解决反爬虫、网络异常等各种常见爬虫问题5. 了解分布式系统的设计与实现,有自动化测试经验6. 熟悉 Kafka/Storm/Hadoop/Spark/HBase 等大数据相关技术7. 优秀的分析、解决问题能力,对处理未知的、挑战性问题充满激情8. 良好的沟通能力和团队合作精神",扁平管理移动互联网公司氛围好地铁周边,https://www.zhipin.com/job_detail/59fa280b889875e11XV40ty8EFM~.html,https://www.zhipin.com/gongsi/1bff6038f87ff7921X1z398~.html
2,Python工程师,10-15K,广州 海珠区 南洲,3-5年,西洋汇,电子商务,不需要融资,20-99人,杨先生CEO,加入理由：1.我们是一个有抱负，有情怀的技术团队。我们崇尚硅谷和谷歌的工程师文化，信奉技术改变世界的力量。我们从来没有作过市场投放，因为我们相信技术、效率带来的价值最终会让市场认可。2.我们一直致力于运用最新的技术，为人们带来更美好的生活。我们主要的技术栈包括：PHP7、MongoDB、ElasticSearch、Symfony、GoLang、VUE、React（Native）、Bootstrap、Ubuntu等。我们还致力研究：大数据处理、人工智能推荐、图像搜索、自动翻译、微服务架构。3.我们的研发中心成员经过严格筛选，只为缔造一个志同道合，合作无间的团队。如果你觉得渴望在团队里面一起做点事情，那加入我们，试着一起创造出伟大的产品。职责范围：1.负责公司的数据分析系统、爬虫系统、自动化系统（手机中控系统）的开发与运维。2.使用各种监控工具及设计系统与架构，保障各系统的高可用性及数据的安全性。3.按照运营的需求设计并组织实施编码，满足公司业务工具化、自动化、平台化的目标。任职要求：1.靠谱，非常靠谱，首先必须是一个靠谱的工程师，能对自己写的代码及软件负责。2.学历：统招本科以上学历，计算机相关专业优先；能熟练阅读英文文档，及时了解国外先进技术；3.硬技能：精通以下技术并具备丰富经验（多项可选）：- PHP/Golang/Python语言编程及软件工程能力；不拘泥于具体语言，具备不同场景灵活切换运用不同的最佳实践方案的能力；- Linux系统管理、Nginx/HaProxy/Apache/Tomcat配置、脚本语言Bash Shell编写、Docker容器管理；- MongoDB/MySQL/PostgreSQL/ElasticSearch/Redis/Kafka/Spark等数据库技术及集群。4.可选加分项或经验：- 手机端开发（Android、IOS）、前端开发；- 大数据或人工智能的开发或应用经验；- 系统运维、监控报警技术、自动构建及部署系统，如Cacti / Zabbix / Nagios / flannel/ ansible/ glusterfs/ ESXi/ WAF/ Zabbix/ Puppet/ calico等。5.其它软能力：沟通能力、自我驱动能力、快速学习能力。特别提示：到西洋汇招聘官网 job.xiyanghui.com 投递简历，应聘成功率提升90%！！！顺便，关注“西洋汇招聘”公众号，你也需要更全面地了解一下你的未来雇主。,五险一金定期体检带薪年假包吃节日福利零食下午茶,https://www.zhipin.com/job_detail/2a1e5ce5b442203203F73N--F1c~.html,https://www.zhipin.com/gongsi/90282c39f5dd38b31XR52Nw~.html
3,Python爬虫工程师,15-30K,广州 海珠区 琶洲,经验不限,Fordeal,电子商务,C轮,1000-9999人,杜女士架构师,"岗位职责：1、负责设计和开发分布式网络爬虫系统，进行淘宝、1688等电商平台信息的抓取和分析;2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、负责爬虫逻辑的开发，快速响应业务变动。任职要求：1、具有1年以上爬虫开发经验，精通Python，熟练使用多线程，熟悉常用的爬虫框架；2、对数据结构和算法设计有较为深刻的理解，具有良好的沟通能力和团队合作意识；3、熟悉正则表达式，Jsoup、XPATH，CSS选择器，能够从结构化和非机构化的数据中获取信息,了解各种Web前端技术，包括HTML／XML／JavaScript／AJAX／JSON等；4、拥抱新技术，有很强的学习能力。",定期体检带薪年假餐补交通补助节日福利零食下午茶六险一金,https://www.zhipin.com/job_detail/b5af2718ef264c741H142ti7ElQ~.html,https://www.zhipin.com/gongsi/5a5c0072d3fd43211nZ43d2_.html
4,Python开发工程师,15-20K,广州 天河区 天河公园,1-3年,网易游戏,游戏,已上市,10000人以上,彭女士招聘,"职位职责：1、负责公司客服智能化项目的设计和开发维护；2、负责业务需求分析，将业务需求拆分成独立的业务功能，并负责相关的开发等工作；3、负责部分核心技术问题的攻关，架构设计，系统优化，协助解决项目开发过程中的技术难题。要求:1、2年以上Python经验，熟悉Django, Tornado, Flask框架中的至少一种，熟悉Web后端架构；2、熟悉Linux平台环境的开发，掌握Linux常用命令 ；3、熟悉python网络编程，能够设计和维护基于TCP/IP协议的高性能事件驱动框架程序；4、熟悉mysql、mongodb、redis等数据库使用。5、拥有强烈的求知欲，优秀的学习和沟通能力。6、有机器学习实际操作经验、参加过相关竞赛者优先。7、对数据分析有兴趣者优先。",五险一金补充医疗保险定期体检年终奖带薪年假员工旅游免费班车餐补包吃节日福利,https://www.zhipin.com/job_detail/f0b54e6196f09fcb1HZ50t66GFc~.html,https://www.zhipin.com/gongsi/1f9c13f93a2492291XRz39S1.html
5,Python,8-10K,广州 番禺区 钟村,1-3年,赛耀网络,移动互联网,不需要融资,0-20人,李女士行政人事,"1. 计算机相关专业毕业， 2年或以上后端研发经验2. 熟悉Liunx下的相关工具开发和配置3. 熟练Python/Golang, 多了解其他编程语言更佳4. 具备良好的Restful API设计风格 5. 具备良好的TCP/IP、HTTP协议知识基础6. 具备良好的数据库、消息队列实践经验7. 了解同步/异步编程, 了解多线程/多进程模型8. 清晰的思路和良好的业务理解能力加分项:1. 具有高并发系统设计经验的更佳2. 熟悉数据结构与算法的更佳",unknown,https://www.zhipin.com/job_detail/b901b6c837baee721HF90tW4E1A~.html,https://www.zhipin.com/gongsi/2c4fd8c9a87ab3581nNy39W-GQ~~.html
6,Python,3-6K,广州 天河区 棠下,应届生,勤加缘,互联网,未融资,20-99人,陈先生招聘者,python 软件工程师1.精通Selenium浏览器自动化测试框架，并编写自动化脚本2.熟悉深度学习的图象文本识别算法研究和开发，数据类型包括图片、视频、文本等。3.熟悉Scrapy爬虫框架。,五险一金补充医疗保险定期体检加班补助全勤奖带薪年假员工旅游餐补交通补助,https://www.zhipin.com/job_detail/671e4ffbc469b3781nV42Nm8GFQ~.html,https://www.zhipin.com/gongsi/05401f93b90292751HR-0t-4.html
7,Python,12-20K·13薪,广州,5-10年,中土,数据服务,未融资,0-20人,张先生总经理,股权激励,五险一金加班补助股票期权带薪年假,https://www.zhipin.com/job_detail/5b4c35d7aca044de03J93du_EVY~.html,https://www.zhipin.com/gongsi/22930d9b841467b503143921GQ~~.html
8,Python开发工程师,8-16K,广州,1-3年,广州多益网络,互联网,不需要融资,1000-9999人,刘先生招聘经理,岗位职责：1、负责公司产品的开发，遵照开发规范，按时保质的完成开发任务； 2、参与需求分析、功能设计、代码编写、单元测试和bug修复工作； 3、负责项目后期维护和优化。任职要求：1、大学本科及以上学历，计算机相关专业毕业；2、熟练掌握Python编程，有一定的web后台开发经验者尤佳；3、有Node.js开发经验的优先考虑。,五险一金全勤奖年终奖带薪年假免费班车包吃节日福利住房补贴,https://www.zhipin.com/job_detail/beccc3a403aca6451XN90t61E1E~.html,https://www.zhipin.com/gongsi/5b09457741e617661XZ53A~~.html
9,Python工程师,5-10K,广州 海珠区 新港,经验不限,优德,计算机软件,未融资,0-20人,CEO,岗位要求： 1、负责搭建以及维护爬虫系统，负责数据的抓取、解析、清洗、入库、更新等；负责爬虫的性能优化工作；2、负责各种自动化脚本、中间件等的开发和维护；3、熟悉Python编程，熟悉JavaScript、正则表达式、XPath等信息抽取技术，熟悉抓包分析请求并模拟；4、熟悉运用Linux操作系统，了解HTTP、TCP/IP、网络编程，了解进程、线程等概念，能独立解决简单常见的问题；5、了解分布式架构，有爬虫经验优先，熟悉scrapy、pyspider等者优先；6、 掌握C/C++/Java/Python/Go等其他编程语言的优先；工作环境：1. 我们是一个以技术为主的团队，技术氛围活泼；2. 团队大部分都是90后，轻松好玩；3. 办公室处于广州中大门口，中大地铁出口2分钟即达，交通方便；4. 上班时间人性化，不强制考勤；5. 常备下午茶和各种零食，不定期团建活动；,五险一金加班补助全勤奖年终奖股票期权通讯补贴交通补助节日福利住房补贴零食下午茶,https://www.zhipin.com/job_detail/4c083d704ac23f321XR52tm0FVQ~.html,https://www.zhipin.com/gongsi/8e26a983689c8ff51ndy0tS1GQ~~.html
