,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Java,20-35K,深圳 南山区 深圳湾,3-5年,支付宝,移动互联网,B轮,10000人以上,刘先生资深研发工程师,蚂蚁金服全球支付招聘Java方向技术base地：深圳等级范围：P6 P7 P8团队背景：蚂蚁全球支付现在正处于一个高速发展的时期，在国内、移动支付已经渗透到生活的方方面面，但海外移动支付发展相对落后。现在正在组建一支新的技术团队，亟待解决的是港澳台的同胞以及全球用户进入全面的移动支付时代，解决他们在本地支付、跨境支付、海外购物等关键各种支付场景的问题。岗位描述：1、主导各类国际支付产品及技术升级的系统分析、设计、架构、代码编写、维护等工作；2、系统性能优化，主导技术难题攻关，持续提升系统在大规模分布式系统环境下高并发、海量请求数下的高处理性能，解决各类潜在系统技术风险，保证系统的安全、稳定、快速运行；3、P7以上负责指导、培训普通开发工程师，审核开发工程师的设计与研发质量、团队管理工作；职位描述：2、大型数据库如oracle使用经验，大规模高并发访问的Web应用系统设计和开发经验；3、熟练掌握unix/linux操作系统，对常用命令运用娴熟；4、具备良好的识别和设计通用框架及模块的能力；5、较强的表达和沟通能力；工作认真、严谨、敬业，对系统质量有近乎苛刻的要求意识；6、具有大型电子商务网站以及银行业核心系统、金融系统、支付系统研发经验背景的优先考虑；,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补通讯补贴交通补助包吃节日福利住房补贴,https://www.zhipin.com/job_detail/b3aca0faa9e9063d1HF_39i-EFs~.html,https://www.zhipin.com/gongsi/1f8227007663695b3nV63Q~~.html
1,Java,30-40K,深圳 南山区 深圳湾,5-10年,OPPO广东移动...,互联网,不需要融资,10000人以上,林先生高级后端工程师,大量业务如云服务，软件商店，push，语音助手，基础平台等需要大量高级Java开发。学历要求一类本科以上，过去一年无面试过OPPO,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助节日福利住房补贴,https://www.zhipin.com/job_detail/cef96d0f010855fc1XN90tS7F1E~.html,https://www.zhipin.com/gongsi/ca0634f8336c63ac1XF42dS6Eg~~.html
2,Java,15-24K,深圳 龙岗区 坂田,3-5年,软通动力,计算机软件,已上市,10000人以上,高女士招聘顾问,1.  2年以上JAVA开发经验，全日制统招本科以上学历2、精通JAVA语言，精通Html、Css、js等常用WEB技术优先3、对Spring cloud及微服务有深入理解，有实际经验者优先4、精通Oracle或Mysql数据库；5、熟练掌握JAVA开发框架Struts、Spring、Hibernate、iBatis等；4、熟练掌握MVC、RESTful、SOA、微服务、ESB等主流架构思想；5、熟悉JVM体系结构、性能调优；6、熟悉分布式系统架构；7、良好的沟通协调能力，团队合作精神和执行力，思路开阔，积极上进,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/a7815e33f220b7cd1XR83N67EVI~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
3,Java,40-50K,深圳 南山区 深圳湾,5-10年,支付宝,移动互联网,B轮,10000人以上,吴先生技术专家,职位描述:客户平台是蚂蚁超级架构域之一，管理着全球十亿级客户的账号、账户、证件、交易、关系、资产等信息，为各业务产品提供统一、适时的客户信息服务，为用户提供基础的账户、账单、消息触达等服务，为合作伙伴提供开放的账户识别、同人识别、实人认证等服务，为用户增长和用户忠诚度逐步扩展会员经营能力和产品。技术上，积累了业界领先的信息建模和海量数据服务能力（日服务量超百亿次），多年来经历双11（大促）的打磨，持续在高可用、低成本及数据中间件方向上迭代创新，积累了异地多活的数据服务能力及通用技术组件。产品上，互联网级的客户数量 + 金融级的信息质量，创新空间无限，可以自由发挥，鼓励工作室模式内部创业，鼓励以数据驱动产品优化、创新、决策。期待你的加入负责客户平台多个数据产品和创新产品的架构设计及研发工作：数据产品 - 以同步调用和异步消息为洞察用户行为的主要输入，形成准实时、高质量的数据视图，集成AI的能力，为用户提供多样的数据产品（如：账单），为其他产品提供基础的数据服务（如：产品帐）；随着业务量的逐年倍增，系统的成本优化和高可用永无止境。创新产品 - 依托丰富和高质量的客户信息，创新空间无限，鼓励以工作室模式内部创业，给予交互、产品、运营、流量等支持，打造有情感的小应用。职位要求:扎实的java编程基础，熟悉常用的Java开源框架；具有分布式，高并发，高可用系统的研发经验；良好的架构能力。可以协同多个组拿到较好的架构解决方案；熟悉常见的研发最佳实践；热爱技术，工作认真，善于沟通，积极主动，责任心强。,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补通讯补贴交通补助包吃节日福利住房补贴,https://www.zhipin.com/job_detail/519d66124b66b9a41XVz3dy_FFc~.html,https://www.zhipin.com/gongsi/1f8227007663695b3nV63Q~~.html
4,Java,15-25K,深圳 罗湖区 万象城,1-3年,金服银行科技中心,互联网金融,已上市,10000人以上,詹女士招聘助理,岗位职责：1、参与项目系统设计，完成软件项目的程序开发工作；2、负责产品需求分析、设计和文档编写；3、根据产品需求和设计进行软件开发；4、完成直接上级交办的其他工作任务。任职资格：1、本科及以上学历，3年及以上相关工作经验；2、计算机或相关专业，有扎实的软件基础知识；3、 熟练掌握Eclipse、WebLogic、tomcat等开发工具；4、 熟练掌握SQL语句编写，对mysql、Oracle或PG 数据库有较多应用经验；5、 熟练掌握SSH框架、熟悉DUBBO、REDIS等框架技术，及互联网常用技术；,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游餐补节日福利,https://www.zhipin.com/job_detail/a16a6e2421b8bd0603F-09W6F1Q~.html,https://www.zhipin.com/gongsi/2d8ed0a2e7e23a3d1nV72di9Eg~~.html
5,Java,25-40K,深圳 南山区 深圳湾,3-5年,OPPO广东移动...,互联网,不需要融资,10000人以上,林先生高级后端工程师,0.  985/211本科以上毕业（优秀者放宽至1本），过去一年无面试过OPPO1、JAVA基础扎实，熟练掌握IO、多线程、集合等基础类库，熟悉分布式缓存、消息机制、搜索引擎等技术；2、3年以上使用JAVA进行web应用开发的经验；3、熟悉J2EE规范，掌握常用的设计模式；熟悉高并发、高性能的分布式系统的设计及应用、调优；4、熟悉SQL，了解Mysql及相关分布式存储技术；5、有互联网平台级产品研发经验或者开发经验者优先；6、有互联网相关经历、有ERP、BOSS系统、大型企业以及大型系统设计和架构能力者优先；7、专注于技术，精益求精，并对业界的最新技术发展动态有比较密切的关注；8、新的思维，并能从技术趋势和思路上能影响技术团队；9、有激情、愿意分享，自驱能力强，良好的结果导向和抗压能力。,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助节日福利住房补贴,https://www.zhipin.com/job_detail/2c1ff01c913a35d91XN90tW9GFM~.html,https://www.zhipin.com/gongsi/ca0634f8336c63ac1XF42dS6Eg~~.html
6,Java,14-20K·13薪,深圳 福田区 华强南,3-5年,中软国际,计算机软件,已上市,10000人以上,杨女士招聘者,"熟悉spring, spring cloud ,spring boot ,mybatis等开源框架熟悉分布式 缓存 消息等机制 对分布式常用技术进行合理应用解决",五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/f207dd92a545928e03Jz2dm6EFI~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
7,Java,12-20K,深圳 南山区 南头,3-5年,文思海辉技术有限公司,计算机软件,不需要融资,10000人以上,许女士招聘HR,用人要求：1、3年以上Java开发经验2、精通SpringCloud、SpringBoot、SpringMVC、MyBatis等流行框架的配置、部署、应用3、熟悉 MySQL、Redis;精通JVM调优、接口及数据库性能优化4、有独立项目开发能力,五险一金补充医疗保险定期体检加班补助年终奖带薪年假交通补助节日福利,https://www.zhipin.com/job_detail/d4f3ba5a9fdc1a8a1Hx-3t-_EFQ~.html,https://www.zhipin.com/gongsi/b46b61327d4aac921XNy09u-.html
8,Java,30-50K,深圳 南山区 深圳湾,3-5年,阿里巴巴集团,互联网,不需要融资,10000人以上,彭先生资深开发工程师,"2016年4月阿里巴巴集团投资并购了东南亚第一电商集团Lazada，随后利用半年时间成功实现了商家端的整合，目前在快速推进搜索、数据平台等多个业务的海外落地。利用阿里巴巴先进成熟的产品和技术快速提升海外本地电商的能力，帮助阿里生态迅速发展海外业务。与此同时，我们在基于阿里已有平台抽取出一套国际化的全链路系统，从无线手机端到交易链路，从商家业务到大数据和推荐，打造全新的端到端国际电商操作系统，并计划在未来多个海外收购业务中实现复用。2017年2月阿里又投资了印度PayTM电商，开启了第二战场，阿里电商国际化进入了快速奔跑的阶段。在这里你不仅有机会了解阿里商品、交易、会员、营销等核心平台，而且有机会接受极具前瞻性的海外电商业务的挑战，并且需要针对多国场景进行业务抽象和平台剥离，任务的新颖性和挑战性都是前所未有的。我们在招的岗位包含产品、架构师、开发、测试、前端等多种机会，业务涉及电商端到端的所有环节，只要你自信，有能力、有激情，一定可以找到吸引自己的新挑战。加入Lazada技术部，和我们一起参与阿里电商国际化，激荡东南亚市场的历程，和我们一起共创阿里国际化的未来！职位背景描述：1. 主要领域：物流服务表达（如时效、运费）、电商库存管理、供应链履约单管理、物流详情查看、物流仓配网络组网2. 阿里巴巴技术栈： java+mysql 缓存、消息等中间件均使用阿里体系。3. 当前团队构成含杭州、深圳、新加坡、越南4地，本次招聘主要面向深圳。每年会有约10%时间出差，具体时间可协调4. 年轻化团队，成员从80到90，欢迎尝试新事物，如kotlin、机器学习、babel、graavlvm、graphQL、rest、nodeJS等。岗位要求:1. 本科以上学历，5年及以上使用JAVA开发的经验，JAVA基础扎实，理解IO、多线程、集合等基础框架，了解JVM原理以及特性； 2. 对用过的开源框架，能了解到它的原理和机制；对Spring,ibatis,Netty,等开源框架熟悉； 3. 熟悉大流量、高并发的分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题； 4. 掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验； 5. 掌握Linux操作系统、分布式数据库、缓存等相关产品；有丰富的使用经验；7. 学习能力强，适应能力好；具备耐心/细心的品质；8. 有海外2年以上工作、学习经验是加分项，英文流利是加分项",五险一金定期体检年终奖股票期权带薪年假节日福利保险,https://www.zhipin.com/job_detail/495da3661718b59803R809m7GFY~.html,https://www.zhipin.com/gongsi/5d627415a46b4a750nJ9.html
9,Java,15-30K,深圳 龙岗区 坂田,5-10年,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,谢女士招聘经理,"统招大专以上学历，5-8年以上经验，需求人数2-3人。基本要求：1、精通Java和Spring开发，具备较强的系统设计和架构能力，有带领过团队开发经验；2、对Java设计模式、事务处理、多线程和异常处理有深刻的理解和实战经验；3、对spring框架、spring boot或spring cloud有使用经验，主要是对DI和AOP有深刻的理解和实战经验，能够在项目中灵活运用spring来设计架构合理的方案。特殊技能(加分项,不是必要条件)：对docker、kubernetes有一定的使用或开发经验；熟悉GO语言，Python语言开发经验。",五险一金定期体检加班补助年终奖带薪年假员工旅游免费班车餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/3a5ecc66468d1cd91X1-3du_GVE~.html,https://www.zhipin.com/gongsi/deb8ee191fcc270203153Nu5.html
