,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
0,Web前端,9-18K,西安,3-5年,中软国际,计算机软件,已上市,10000人以上,吴女士HR,web前端开发web架构师熟悉angular、Vue、react、js等前端框架,五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/0a28d16335e9f5211Xx-0929F1o~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1,web前端,8-15K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,杨女士招聘顾问,"1、三年以上前端开发工作经验,具有一定的页面设计能2、精精通 Javascript,熟练掌握HTML、CSS、 jquery시jax技术3、掌握并使用过比较常用的前端框架,如 Bootstrap、Angularjs等4、对用户体验有深入理解;有较强的沟通协调能力,团队意识,责任心强者优先。",五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/825360815fb697e41XR80tW5FlM~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
2,web前端,8-16K,西安,3-5年,中软国际,计算机软件,已上市,10000人以上,贾女士招聘主管,"1、精通Html/CSS/Javascrtip数据处理/Ajax交互开发/jQuery/DIV+CSS自适应布局/多浏览器兼容处理;2、熟练掌握MVVM思想，至少掌握一种前端MVVP框架，如VUE、Angular、Node、React等；3、熟悉Http RestFUL接口，熟练掌握常用WEB界面调试工具；4、有大型商用网站开发经验者优先；5、计算机专业且至少3年以上WEB开发经验；6、熟练掌握至少一种服务端语言者优先、熟练掌握数据库语言者优先； 业务方向：AI人工智能，云计算，大数据，OpenStack，hadoop，IaaS，PaaS,SaaS,Daas等",五险一金定期体检加班补助年终奖带薪年假餐补节日福利零食下午茶,https://www.zhipin.com/job_detail/3f1938b39b51ca311Xd43dW_E1Q~.html,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
3,web前端,11-20K,西安,3-5年,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,段女士HR,统招二本及以上学历，3年以上开发经验，熟练掌握HTML/CSS/JavaScript/jQuery，有中大型项目前端应用开发；熟练掌握 AngularJS/ReactJS/Vue.JS 中至少一种框架，熟悉前端模块化开发方法。,五险一金定期体检加班补助年终奖带薪年假员工旅游免费班车餐补通讯补贴交通补助节日福利零食下午茶,https://www.zhipin.com/job_detail/c33840740d3f7c5c1Hd729S4ElE~.html,https://www.zhipin.com/gongsi/deb8ee191fcc270203153Nu5.html
4,web前端,8-13K,西安,1-3年,软通动力,计算机软件,已上市,10000人以上,郭女士招聘顾问,负责公司项目的研发，熟悉前端开发，熟悉vue等框架，有两年工作经验，统招二本或者以上，计算机相关专业,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/8902a05dc58591001HB-39y4EVI~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
5,web前端,10-11K,西安,3-5年,上海易宝软件有限公司深圳分公司,计算机软件,已上市,1000-9999人,吕女士人事主管,1、熟悉CSS/HTML/JavaScript，有前端Web开发经验。2、熟悉常用Web前端框架angular\vuejs\bootstarp等.3、良好的编程习惯和较强的的学习能力；对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作。,带薪年假年度旅游免费零食地铁周边公司氛围好领导nice,https://www.zhipin.com/job_detail/6f0ae0083b487fbe1X153Ny7E1E~.html,https://www.zhipin.com/gongsi/426f0b28b75476931XF529W1.html
6,web前端,8-12K,西安,3-5年,软通动力,计算机软件,已上市,10000人以上,王女士招聘顾问,善于沟通，思路清晰，有丰富项目经验，服从管理，能积极完成上级安排的工作任务,五险一金定期体检年终奖带薪年假免费班车节日福利零食下午茶绩效奖金,https://www.zhipin.com/job_detail/2a954d12ecd298f303J52d-_F1U~.html,https://www.zhipin.com/gongsi/29c1ab68d5e3d3360nN63Q~~.html
7,web前端,8-16K,西安,1-3年,航天宏图,计算机软件,A轮,1000-9999人,李女士HRBP,岗位职责：1、参根据产品需求和设计与后端工程师协作高效完成数据交互等Web前端开发工作；2、参与产品需求分析，深刻理解业务需求，设计和开发基于用户业务场景的功能页面；3、负责解决产品开发中的关键问题和技术难题；4、负责前端整体架构的设计，前端API的封装及工具开发。任职要求：1、3年以Web前端开发经验，计算机相关专业，具有良好的代码规则；2、熟练掌握HTML、CSS、JavaScript的基本功能，对于JavaScript的原型链、继承以及闭包有深入的理解；3、熟悉Java或nodeJs等服务端语言；4、对目前主流的一些MVC、MVVM框架有一定的了解，有Vue组件开发经验者优先考虑；5、有很强的责任心和良好的团队合作精神，良好的自我学习能力，喜欢接受技术挑战。,五险一金带薪年假员工旅游餐补包吃节日福利,https://www.zhipin.com/job_detail/84d216845901170c1XZ53N-6EVY~.html,https://www.zhipin.com/gongsi/4a3f51d570b0562c1XR82d-_.html
8,web前端,5-8K,西安 未央区 张家堡,1-3年,北京壹派科技,生活服务,未融资,100-499人,曹女士人事,"岗位职责： 1、网站网页开发。 2、微信公众号页面开发。3、手机APP端内嵌HTML5页面开发。  任职资格：  1、 美术、设计等相关专业专科或以上学历。   2、 两年及以上相关专业工作经验、有优秀的艺术素养。  3、 能够熟练运用Photoshop、Illustrator、Fivework、Flash等设计软件，熟练HTML5及DIV+CSS布局。   4、熟练处理CSS与IE6、IE7、IE8、FireFox等浏览器兼容问题  5、思想敏锐活跃,具有丰富的视觉创作经验和独到的审美修养6.能独立开发项目的优先考虑",加班补助全勤奖年终奖带薪年假包吃节日福利,https://www.zhipin.com/job_detail/98329c54ed141ae103J_29-8F1M~.html,https://www.zhipin.com/gongsi/b362a42f04190e851nx82NS0EQ~~.html
9,web前端,8-12K,西安,3-5年,航宇卫星,计算机软件,未融资,100-499人,王女士人力资源副经理,前端开发工程师web. 岗位职责：1.WEB端和移动端开发工作、参与技术平台方向的后端开发工作；2.承担WEB前端、移动端核心模块的设计、实现，参与系统的架构设计、优化、架构原型实现及核心模块的开发工作；3.积极探索并积累前后端开发模式和规范；4.前后端代码的优化，样式压缩、合并、请求优化等，满足前端用户体验；5.配合需求人员、产品人员进行前后端分析与设计工作；任职要求：1、熟练使用JavaScript、CSS、HTML，本科及以上学历，2年及以上的开发经验；2、了解前端的 MVVM 开发模式以及前后端分离，有良好的审美能力及创意思维；3、了解ES5/ES6语法特征，了解 LESS/SCSS，有Node.js 开发经验者优先；4、有Glup/Webpack 或其他构建工具使用配置经验者优先；5、熟练掌握Mockplus、Axure等软件工具，熟悉C++、Unity、java编程语言；有Vue.js、React.js、Angular.js 开发经验者优先；6、有移动端开发经验者优先；7、具备学习能力与积极性，能独立解决问题，用于尝试挑战新事物，具备良好的沟通能力以及团队精神。,unknown,https://www.zhipin.com/job_detail/24e4f692118150481HNz3d6_ElE~.html,https://www.zhipin.com/gongsi/51286c3e1b951a611nx529i_Fg~~.html
